scope,target,ac_threshold,method,ac_threshold_role,variant_count_scope,target_event_count,naive_af_flag_count_scope,ac_supported_frequency_flag_count_scope,vital_red_count_at_ac_threshold,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
all_baseline_plp,strict_PLP_to_BLB_or_VUS,5,naive_AF_gt_1e-5,actionability_filter_not_scoring_function,1669,17,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,2,185,15,1467,0.0106951871657754,0.11764705882352941,0.8880145278450363,0.11198547215496368,0.8823529411764706,Wilson 95%,0.002937861381681197,0.03815171238001436,0.03287908001292092,0.3433684249770991,0.8718983779067218,0.9023302681183569,0.09766973188164306,0.12810162209327822,0.6566315750229009,0.967120919987079,185,0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,5,AF_gt_1e-5_and_AC_ge_5,actionability_filter_not_scoring_function,1669,17,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,0,40,17,1612,0.0,0.0,0.9757869249394673,0.024213075060532687,1.0,Wilson 95%,0.0,0.08762453925039232,0.0,0.18432366037156456,0.9671975449271918,0.982168626329769,0.017831373670230962,0.032802455072808226,0.8156763396284354,1.0,185,145,78.37837837837837
all_baseline_plp,strict_PLP_to_BLB_or_VUS,5,VITAL_red_AC_ge_5,actionability_filter_not_scoring_function,1669,17,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,0,3,17,1649,0.0,0.0,0.9981840193704601,0.0018159806295399517,1.0,Wilson 95%,0.0,0.5615060804490177,0.0,0.18432366037156456,0.994674210378455,0.9993822259376758,0.0006177740623242414,0.005325789621545037,0.8156763396284354,1.0,185,182,98.37837837837839
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,5,naive_AF_gt_1e-5,actionability_filter_not_scoring_function,1669,113,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,17,170,96,1386,0.09090909090909091,0.1504424778761062,0.890745501285347,0.10925449871465295,0.8495575221238938,Wilson 95%,0.05753352035574911,0.14075448393681603,0.09610006998084222,0.2277708800917347,0.8742718131643479,0.9052945222892008,0.09470547771079922,0.1257281868356522,0.7722291199082653,0.9038999300191578,170,0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,5,AF_gt_1e-5_and_AC_ge_5,actionability_filter_not_scoring_function,1669,113,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,4,36,109,1520,0.1,0.035398230088495575,0.9768637532133676,0.02313624678663239,0.9646017699115044,Wilson 95%,0.03957888759557486,0.23052074380473897,0.0138499544653361,0.08749751082100028,0.9681367609394348,0.9832418918673632,0.016758108132636833,0.03186323906056535,0.9125024891789997,0.9861500455346639,170,134,78.82352941176471
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,5,VITAL_red_AC_ge_5,actionability_filter_not_scoring_function,1669,113,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,1,2,112,1554,0.3333333333333333,0.008849557522123894,0.9987146529562982,0.0012853470437017994,0.9911504424778761,Wilson 95%,0.0614903152761605,0.7923450448735121,0.0015638358136017966,0.04843205606052523,0.9953253748192082,0.9996474480622949,0.00035255193770526065,0.0046746251807919005,0.9515679439394749,0.9984361641863984,170,168,98.82352941176471
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,5,naive_AF_gt_1e-5,actionability_filter_not_scoring_function,1669,433,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,67,120,366,1116,0.3582887700534759,0.15473441108545036,0.9029126213592233,0.0970873786407767,0.8452655889145496,Wilson 95%,0.2930507452314751,0.4292320274973218,0.12372064539488789,0.1918207316168253,0.8851362376842601,0.9181921874952145,0.0818078125047855,0.11486376231573994,0.8081792683831747,0.8762793546051121,120,0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,5,AF_gt_1e-5_and_AC_ge_5,actionability_filter_not_scoring_function,1669,433,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,14,26,419,1210,0.35,0.03233256351039261,0.9789644012944984,0.021035598705501618,0.9676674364896074,Wilson 95%,0.2213433317104915,0.5049440300646263,0.019355641937967478,0.05353485200766407,0.9693557370370868,0.9856049611682322,0.014395038831767735,0.03064426296291313,0.946465147992336,0.9806443580620325,120,94,78.33333333333333
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,5,VITAL_red_AC_ge_5,actionability_filter_not_scoring_function,1669,433,187,40,3,ANK2:VCV000207942:VITAL=72.1; KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,1,ANK2:VCV000207942:VITAL=72.1,0,,2,1,431,1235,0.6666666666666666,0.004618937644341801,0.9991909385113269,0.0008090614886731392,0.9953810623556582,Wilson 95%,0.2076549551264879,0.9385096847238394,0.0012675679951587885,0.01668310336947315,0.9954312602174213,0.9998571701756225,0.0001428298243775052,0.0045687397825787375,0.9833168966305268,0.9987324320048412,120,119,99.16666666666667
all_baseline_plp,strict_PLP_to_BLB_or_VUS,10,naive_AF_gt_1e-5,actionability_filter_not_scoring_function,1669,17,187,38,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,2,KCNE1:VCV001202620:VITAL=87.7; TRDN:VCV001325231:VITAL=76.4,0,,0,,2,185,15,1467,0.0106951871657754,0.11764705882352941,0.8880145278450363,0.11198547215496368,0.8823529411764706,Wilson 95%,0.002937861381681197,0.03815171238001436,0.03287908001292092,0.3433684249770991,0.8718983779067218,0.9023302681183569,0.09766973188164306,0.12810162209327822,0.6566315750229009,0.967120919987079,185,0,0.0
