target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-5,0,35,17,1617,0.0,0.0,0.9788135593220338,0.0211864406779661,1.0,Wilson 95%,0.0,0.09890426758938868,0.0,0.18432366037156456,0.9706780428194683,0.9847273534454883,0.015272646554511583,0.02932195718053167,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-4,0,1,17,1651,0.0,0.0,0.9993946731234867,0.0006053268765133172,1.0,Wilson 95%,0.0,0.7934567085261071,0.0,0.18432366037156456,0.9965789866208085,0.9998931396985208,0.00010686030147929841,0.003421013379191606,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-5,2,185,15,1467,0.0106951871657754,0.11764705882352941,0.8880145278450363,0.11198547215496368,0.8823529411764706,Wilson 95%,0.002937861381681197,0.03815171238001436,0.03287908001292092,0.3433684249770991,0.8718983779067218,0.9023302681183569,0.09766973188164306,0.12810162209327822,0.6566315750229009,0.967120919987079
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-4,0,19,17,1633,0.0,0.0,0.988498789346247,0.011501210653753027,1.0,Wilson 95%,0.0,0.16818436536845052,0.0,0.18432366037156456,0.9821061150518462,0.9926248012386978,0.00737519876130236,0.01789388494815391,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_5,0,40,17,1612,0.0,0.0,0.9757869249394673,0.024213075060532687,1.0,Wilson 95%,0.0,0.08762453925039232,0.0,0.18432366037156456,0.9671975449271918,0.982168626329769,0.017831373670230962,0.032802455072808226,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_10,0,38,17,1614,0.0,0.0,0.9769975786924939,0.023002421307506054,1.0,Wilson 95%,0.0,0.09181293258383999,0.0,0.18432366037156456,0.9685859054100281,0.9831959558501311,0.016804044149868948,0.031414094589971873,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_20,0,27,17,1625,0.0,0.0,0.9836561743341404,0.016343825665859565,1.0,Wilson 95%,6.938893903907228e-18,0.12455903714463581,0.0,0.18432366037156456,0.976324608225715,0.9887435480520353,0.011256451947964754,0.023675391774285008,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_50,0,9,17,1643,0.0,0.0,0.9945520581113801,0.005447941888619854,1.0,Wilson 95%,0.0,0.2991527535509594,0.0,0.18432366037156456,0.9896781576800536,0.997131208626482,0.0028687913735180276,0.01032184231994637,0.8156763396284354,1.0
strict_PLP_to_BLB_or_VUS,VITAL_red,0,2,17,1650,0.0,0.0,0.9987893462469734,0.0012106537530266344,1.0,Wilson 95%,0.0,0.6576280471103807,0.0,0.18432366037156456,0.9955963420992967,0.9996679392184332,0.00033206078156684153,0.00440365790070325,0.8156763396284354,1.0
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-5,3,32,110,1524,0.08571428571428572,0.02654867256637168,0.9794344473007712,0.02056555269922879,0.9734513274336283,Wilson 95%,0.029581831005296905,0.22379599071162518,0.009069309551816493,0.07516096459711677,0.9711121421388473,0.9853952365590923,0.014604763440907657,0.028887857861152763,0.9248390354028831,0.9909306904481835
