scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
all_baseline_plp,strict_PLP_to_BLB_or_VUS,40,97,0,97,17,1555,0.0,0.0,0.9412832929782082,0.05871670702179177
all_baseline_plp,strict_PLP_to_BLB_or_VUS,45,67,0,67,17,1585,0.0,0.0,0.9594430992736077,0.04055690072639225
all_baseline_plp,strict_PLP_to_BLB_or_VUS,50,40,0,40,17,1612,0.0,0.0,0.9757869249394673,0.024213075060532687
all_baseline_plp,strict_PLP_to_BLB_or_VUS,55,24,0,24,17,1628,0.0,0.0,0.9854721549636803,0.014527845036319613
all_baseline_plp,strict_PLP_to_BLB_or_VUS,60,17,0,17,17,1635,0.0,0.0,0.9897094430992736,0.010290556900726392
all_baseline_plp,strict_PLP_to_BLB_or_VUS,65,12,0,12,17,1640,0.0,0.0,0.9927360774818402,0.007263922518159807
all_baseline_plp,strict_PLP_to_BLB_or_VUS,70,8,0,8,17,1644,0.0,0.0,0.9951573849878934,0.004842615012106538
all_baseline_plp,strict_PLP_to_BLB_or_VUS,75,7,0,7,17,1645,0.0,0.0,0.9957627118644068,0.00423728813559322
all_baseline_plp,strict_PLP_to_BLB_or_VUS,80,5,0,5,17,1647,0.0,0.0,0.9969733656174334,0.003026634382566586
all_baseline_plp,strict_PLP_to_BLB_or_VUS,85,3,0,3,17,1649,0.0,0.0,0.9981840193704601,0.0018159806295399517
all_baseline_plp,strict_PLP_to_BLB_or_VUS,90,0,0,0,17,1652,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,95,0,0,0,17,1652,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,40,97,11,86,102,1470,0.1134020618556701,0.09734513274336283,0.9447300771208226,0.055269922879177376
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,45,67,9,58,104,1498,0.13432835820895522,0.07964601769911504,0.9627249357326478,0.037275064267352186
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,50,40,7,33,106,1523,0.175,0.061946902654867256,0.9787917737789203,0.021208226221079693
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,55,24,5,19,108,1537,0.20833333333333334,0.04424778761061947,0.9877892030848329,0.012210796915167094
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,60,17,4,13,109,1543,0.23529411764705882,0.035398230088495575,0.9916452442159382,0.008354755784061696
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,65,12,2,10,111,1546,0.16666666666666666,0.017699115044247787,0.993573264781491,0.006426735218508998
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,70,8,2,6,111,1550,0.25,0.017699115044247787,0.9961439588688946,0.0038560411311053984
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,75,7,2,5,111,1551,0.2857142857142857,0.017699115044247787,0.9967866323907455,0.003213367609254499
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,80,5,2,3,111,1553,0.4,0.017699115044247787,0.9980719794344473,0.0019280205655526992
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,85,3,1,2,112,1554,0.3333333333333333,0.008849557522123894,0.9987146529562982,0.0012853470437017994
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,90,0,0,0,113,1556,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,95,0,0,0,113,1556,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,40,97,40,57,393,1179,0.41237113402061853,0.09237875288683603,0.9538834951456311,0.04611650485436893
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,45,67,31,36,402,1200,0.4626865671641791,0.07159353348729793,0.970873786407767,0.02912621359223301
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,50,40,18,22,415,1214,0.45,0.04157043879907621,0.982200647249191,0.01779935275080906
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,55,24,14,10,419,1226,0.5833333333333334,0.03233256351039261,0.9919093851132686,0.008090614886731391
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,60,17,12,5,421,1231,0.7058823529411765,0.02771362586605081,0.9959546925566343,0.0040453074433656954
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,65,12,8,4,425,1232,0.6666666666666666,0.018475750577367205,0.9967637540453075,0.003236245954692557
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,70,8,5,3,428,1233,0.625,0.011547344110854504,0.9975728155339806,0.0024271844660194173
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,75,7,5,2,428,1234,0.7142857142857143,0.011547344110854504,0.9983818770226537,0.0016181229773462784
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,80,5,4,1,429,1235,0.8,0.009237875288683603,0.9991909385113269,0.0008090614886731392
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,85,3,2,1,431,1235,0.6666666666666666,0.004618937644341801,0.9991909385113269,0.0008090614886731392
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,90,0,0,0,433,1236,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,95,0,0,0,433,1236,,0.0,1.0,0.0
frequency_observed,strict_PLP_to_BLB_or_VUS,40,97,0,97,4,354,0.0,0.0,0.7849223946784922,0.21507760532150777
frequency_observed,strict_PLP_to_BLB_or_VUS,45,67,0,67,4,384,0.0,0.0,0.8514412416851441,0.14855875831485588
frequency_observed,strict_PLP_to_BLB_or_VUS,50,40,0,40,4,411,0.0,0.0,0.9113082039911308,0.08869179600886919
frequency_observed,strict_PLP_to_BLB_or_VUS,55,24,0,24,4,427,0.0,0.0,0.9467849223946785,0.05321507760532151
frequency_observed,strict_PLP_to_BLB_or_VUS,60,17,0,17,4,434,0.0,0.0,0.9623059866962306,0.037694013303769404
frequency_observed,strict_PLP_to_BLB_or_VUS,65,12,0,12,4,439,0.0,0.0,0.9733924611973392,0.026607538802660754
