score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,53,4,49,0,208,0.07547169811320754,1.0,0.8093385214007782,0.19066147859922178
45,39,4,35,0,222,0.10256410256410256,1.0,0.8638132295719845,0.13618677042801555
50,27,3,24,1,233,0.1111111111111111,0.75,0.9066147859922179,0.0933852140077821
55,13,2,11,2,246,0.15384615384615385,0.5,0.9571984435797666,0.042801556420233464
60,8,2,6,2,251,0.25,0.5,0.9766536964980544,0.023346303501945526
65,8,2,6,2,251,0.25,0.5,0.9766536964980544,0.023346303501945526
70,7,2,5,2,252,0.2857142857142857,0.5,0.980544747081712,0.019455252918287938
75,7,2,5,2,252,0.2857142857142857,0.5,0.980544747081712,0.019455252918287938
80,5,1,4,3,253,0.2,0.25,0.9844357976653697,0.01556420233463035
85,3,1,2,3,255,0.3333333333333333,0.25,0.9922178988326849,0.007782101167315175
90,0,0,0,4,257,,0.0,1.0,0.0
95,0,0,0,4,257,,0.0,1.0,0.0
