gene,functional_class,n_af_covered,median_af,max_af,n_af_gt_1e_5,n_af_gt_1e_4
ANK2,LOF,18,6.962511479637935e-07,3.420660515862971e-06,0,0
ANK2,missense,3,6.840993421700726e-07,2.0523373385836683e-06,0,0
CACNA1C,missense,6,3.421306528537118e-07,1.385381180704965e-06,0,0
CACNA1C,LOF,5,0.0,6.877020984541832e-07,0,0
CACNA1C,splice_or_intronic,1,2.0525170701003e-06,2.0525170701003e-06,0,0
CACNA2D1,LOF,1,6.870028675499691e-07,6.870028675499691e-07,0,0
CACNB2,splice_or_intronic,1,1.1632028310988434e-05,1.1632028310988434e-05,1,0
CALM2,missense,1,0.0,0.0,0,0
CASQ2,LOF,33,1.3685694343702527e-06,3.1733855056306896e-05,1,0
CASQ2,missense,3,1.0267488613355128e-05,3.078341745187184e-05,2,0
CASQ2,splice_or_intronic,2,6.1956646019629744e-06,8.92116979868351e-06,0,0
CASQ2,other_or_unresolved,1,8.897357347985227e-06,8.897357347985227e-06,0,0
HCN4,missense,6,1.368106496399867e-06,3.420346959995622e-06,0,0
KCNE1,LOF,4,1.8616093882854178e-06,3.000828228591091e-06,0,0
KCNE1,missense,1,6.879216099567022e-07,6.879216099567022e-07,0,0
KCNH2,LOF,62,0.0,4.367018818211924e-05,1,0
KCNH2,missense,5,6.93410107700458e-07,7.213041178450639e-06,0,0
KCNH2,splice_or_intronic,4,1.124845583714037e-06,2.7727944499746288e-06,0,0
KCNJ2,LOF,4,1.368110707894887e-06,4.104292816666712e-06,0,0
KCNJ2,missense,2,2.394178764444456e-06,4.104309661955375e-06,0,0
KCNQ1,LOF,46,6.846543629542568e-07,4.105124015796517e-06,0,0
KCNQ1,missense,9,6.842322776997754e-07,2.054848002893226e-06,0,0
KCNQ1,other_or_unresolved,1,0.0,0.0,0,0
RYR2,missense,25,0.0,9.531449812945298e-06,0,0
RYR2,LOF,2,1.026297856269038e-06,2.052595712538076e-06,0,0
SCN5A,LOF,48,6.863370433658806e-07,4.791389735748012e-06,0,0
SCN5A,missense,4,6.848185919627641e-07,1.3689291414897782e-06,0,0
SCN5A,other_or_unresolved,4,2.4482694084726506e-06,0.0001464876505434,1,1
SCN5A,splice_or_intronic,1,6.843736954126432e-07,6.843736954126432e-07,0,0
TRDN,LOF,27,2.053511778943564e-06,6.79663424697027e-05,6,0
TRDN,splice_or_intronic,3,5.012186774127951e-06,5.278376069899409e-05,1,0
TRDN,missense,1,6.851398644519292e-07,6.851398644519292e-07,0,0
