gene,functional_class,variant_count,fraction_within_gene
AKAP9,LOF,1,1.0
ANK2,LOF,75,0.872093023255814
ANK2,missense,8,0.09302325581395349
ANK2,splice_or_intronic,2,0.023255813953488372
ANK2,other_or_unresolved,1,0.011627906976744186
CACNA1C,missense,50,0.5882352941176471
CACNA1C,LOF,33,0.38823529411764707
CACNA1C,splice_or_intronic,2,0.023529411764705882
CACNA2D1,LOF,2,0.5
CACNA2D1,missense,1,0.25
CACNA2D1,splice_or_intronic,1,0.25
CACNB2,splice_or_intronic,1,1.0
CALM1,missense,15,1.0
CALM2,missense,13,1.0
CALM3,missense,8,1.0
CASQ2,LOF,56,0.8615384615384616
CASQ2,missense,5,0.07692307692307693
CASQ2,splice_or_intronic,3,0.046153846153846156
CASQ2,other_or_unresolved,1,0.015384615384615385
HCN4,missense,14,0.7777777777777778
HCN4,LOF,3,0.16666666666666666
HCN4,splice_or_intronic,1,0.05555555555555555
KCNE1,LOF,12,0.8571428571428571
KCNE1,missense,2,0.14285714285714285
KCNH2,LOF,390,0.8158995815899581
KCNH2,missense,55,0.11506276150627615
KCNH2,splice_or_intronic,26,0.05439330543933055
KCNH2,other_or_unresolved,7,0.014644351464435146
KCNJ2,missense,18,0.6206896551724138
KCNJ2,LOF,8,0.27586206896551724
KCNJ2,other_or_unresolved,3,0.10344827586206896
KCNQ1,LOF,194,0.6783216783216783
KCNQ1,missense,71,0.24825174825174826
KCNQ1,splice_or_intronic,11,0.038461538461538464
KCNQ1,other_or_unresolved,10,0.03496503496503497
RYR2,missense,170,0.9289617486338798
RYR2,LOF,9,0.04918032786885246
RYR2,other_or_unresolved,2,0.01092896174863388
RYR2,splice_or_intronic,2,0.01092896174863388
SCN5A,LOF,335,0.850253807106599
SCN5A,missense,44,0.1116751269035533
SCN5A,splice_or_intronic,9,0.02284263959390863
SCN5A,other_or_unresolved,6,0.015228426395939087
TRDN,LOF,44,0.8627450980392157
TRDN,missense,3,0.058823529411764705
TRDN,splice_or_intronic,3,0.058823529411764705
TRDN,other_or_unresolved,1,0.0196078431372549
