ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,19,10,5,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,3,5,3,5,0,0,0.375,1.0,0.0,1.0,0.0,Wilson 95%,0.13684175946152105,0.6942621454161981,0.43849391955098227,1.0,0.0,0.43449149475208104,0.5655085052479191,1.0,0.0,0.5615060804490177,5,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,19,10,5,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,3,5,3,2,0,3,0.6,1.0,0.6,0.4,0.0,Wilson 95%,0.23071993220883708,0.8823817688407467,0.43849391955098227,1.0,0.23071993220883708,0.8823817688407467,0.1176182311592533,0.769280067791163,0.0,0.5615060804490177,5,3,60.0
5,VITAL_red_AC_ge_5,19,10,5,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,3,5,1,0,2,5,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,Wilson 95%,0.20654329147389294,1.0,0.0614903152761605,0.7923450448735121,0.5655085052479191,1.0,0.0,0.43449149475208104,0.2076549551264879,0.9385096847238394,5,5,100.0
10,naive_AF_gt_1e-5,19,10,3,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,2,5,2,5,0,0,0.2857142857142857,1.0,0.0,1.0,0.0,Wilson 95%,0.0822171657090155,0.6410709098517873,0.34237195288961925,1.0,0.0,0.43449149475208104,0.5655085052479191,1.0,0.0,0.6576280471103807,5,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,19,10,3,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,2,5,2,1,0,4,0.6666666666666666,1.0,0.8,0.2,0.0,Wilson 95%,0.2076549551264879,0.9385096847238394,0.34237195288961925,1.0,0.3755282641185388,0.9637768390302125,0.03622316096978745,0.6244717358814613,0.0,0.6576280471103807,5,4,80.0
10,VITAL_red_AC_ge_10,19,10,3,1,KCNQ1:VCV000067060:VITAL=75.3,0,,1,KCNQ1:VCV000067060:VITAL=75.3,0,,2,5,1,0,1,5,1.0,0.5,1.0,0.0,0.5,Wilson 95%,0.20654329147389294,1.0,0.09452865480086614,0.9054713451991339,0.5655085052479191,1.0,0.0,0.43449149475208104,0.09452865480086614,0.9054713451991339,5,5,100.0
20,naive_AF_gt_1e-5,19,10,1,0,,0,,0,,0,,0,5,0,5,0,0,0.0,,0.0,1.0,,Wilson 95%,0.0,0.43449149475208104,,,0.0,0.43449149475208104,0.5655085052479191,1.0,,,5,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,19,10,1,0,,0,,0,,0,,0,5,0,1,0,4,0.0,,0.8,0.2,,Wilson 95%,0.0,0.7934567085261071,,,0.3755282641185388,0.9637768390302125,0.03622316096978745,0.6244717358814613,,,5,4,80.0
20,VITAL_red_AC_ge_20,19,10,1,0,,0,,0,,0,,0,5,0,0,0,5,,,1.0,0.0,,Wilson 95%,,,,,0.5655085052479191,1.0,0.0,0.43449149475208104,,,5,5,100.0
50,naive_AF_gt_1e-5,19,10,1,0,,0,,0,,0,,0,5,0,5,0,0,0.0,,0.0,1.0,,Wilson 95%,0.0,0.43449149475208104,,,0.0,0.43449149475208104,0.5655085052479191,1.0,,,5,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,19,10,1,0,,0,,0,,0,,0,5,0,1,0,4,0.0,,0.8,0.2,,Wilson 95%,0.0,0.7934567085261071,,,0.3755282641185388,0.9637768390302125,0.03622316096978745,0.6244717358814613,,,5,4,80.0
50,VITAL_red_AC_ge_50,19,10,1,0,,0,,0,,0,,0,5,0,0,0,5,,,1.0,0.0,,Wilson 95%,,,,,0.5655085052479191,1.0,0.0,0.43449149475208104,,,5,5,100.0
