kb_bin,variant_count,non_overlap_count,allele_discordance_count,no_gnomad_record_count,exact_match_count,indel_fraction,duplication_count,median_indel_size,median_local_gc_100bp,non_overlap_fraction
150947,111,90,78,12,21,0.8648648648648649,43,1.0,0.7313432835820896,0.8108108108108109
150951,86,83,26,57,3,0.4418604651162791,6,0.0,0.6169154228855721,0.9651162790697675
150958,55,39,39,0,16,0.8363636363636363,13,1.0,0.7711442786069652,0.7090909090909091
150950,45,39,18,21,6,0.6666666666666666,8,1.0,0.6467661691542289,0.8666666666666667
150974,43,37,26,11,6,0.4883720930232558,5,0.0,0.6965174129353234,0.8604651162790697
150948,42,33,24,9,9,0.7857142857142857,10,1.0,0.6417910447761194,0.7857142857142857
150952,31,29,10,19,2,0.5161290322580645,5,1.0,0.6218905472636815,0.9354838709677419
150957,18,18,7,11,0,0.6111111111111112,1,1.0,0.6119402985074627,1.0
150959,15,13,4,9,2,0.6666666666666666,3,1.0,0.5870646766169154,0.8666666666666667
150977,14,9,9,0,5,0.6428571428571429,3,1.0,0.736318407960199,0.6428571428571429
150946,9,9,6,3,0,0.7777777777777778,3,1.0,0.6567164179104478,1.0
150949,5,4,0,4,1,0.6,0,1.0,0.6318407960199005,0.8
150945,4,3,3,0,1,0.75,2,1.0,0.6990049751243781,0.75
