subset,repeat_feature,exact_positive,exact_total,exact_fraction,non_overlap_positive,non_overlap_total,non_overlap_fraction,odds_ratio_non_overlap_vs_exact,fisher_p_two_sided
all_kcnh2,rmsk_overlap_variant,6,72,0.08333333333333333,31,406,0.07635467980295567,0.9093333333333333,0.8117615882881404
duplications,rmsk_overlap_variant,0,5,0.0,11,97,0.1134020618556701,inf,1.0
long_duplications_gt_50bp,rmsk_overlap_variant,0,0,,3,3,1.0,,
all_kcnh2,rmsk_overlap_10bp_window,9,72,0.125,44,406,0.10837438423645321,0.850828729281768,0.6842787545418278
duplications,rmsk_overlap_10bp_window,0,5,0.0,16,97,0.16494845360824742,inf,1.0
long_duplications_gt_50bp,rmsk_overlap_10bp_window,0,0,,3,3,1.0,,
all_kcnh2,simpleRepeat_overlap_variant,1,72,0.013888888888888888,3,406,0.007389162561576354,0.5285359801488834,0.4806972408987443
duplications,simpleRepeat_overlap_variant,0,5,0.0,2,97,0.020618556701030927,inf,1.0
long_duplications_gt_50bp,simpleRepeat_overlap_variant,0,0,,1,3,0.3333333333333333,,
all_kcnh2,simpleRepeat_overlap_10bp_window,3,72,0.041666666666666664,4,406,0.009852216748768473,0.22885572139303484,0.07310619567576349
duplications,simpleRepeat_overlap_10bp_window,0,5,0.0,2,97,0.020618556701030927,inf,1.0
long_duplications_gt_50bp,simpleRepeat_overlap_10bp_window,0,0,,1,3,0.3333333333333333,,
