gene,match_category,variant_count
AKAP9,no_gnomad_record,1
ANK2,no_gnomad_record,40
ANK2,allele_discordance,23
ANK2,exact_match,23
CACNA1C,no_gnomad_record,50
CACNA1C,allele_discordance,23
CACNA1C,exact_match,12
CACNA2D1,no_gnomad_record,2
CACNA2D1,allele_discordance,1
CACNA2D1,exact_match,1
CACNB2,exact_match,1
CALM1,no_gnomad_record,13
CALM1,allele_discordance,2
CALM2,no_gnomad_record,10
CALM2,allele_discordance,2
CALM2,exact_match,1
CALM3,no_gnomad_record,5
CALM3,allele_discordance,3
CASQ2,exact_match,39
CASQ2,allele_discordance,13
CASQ2,no_gnomad_record,13
HCN4,no_gnomad_record,8
HCN4,exact_match,7
HCN4,allele_discordance,3
KCNE1,allele_discordance,7
KCNE1,exact_match,5
KCNE1,no_gnomad_record,2
KCNH2,allele_discordance,250
KCNH2,no_gnomad_record,156
KCNH2,exact_match,72
KCNJ2,no_gnomad_record,20
KCNJ2,exact_match,6
KCNJ2,allele_discordance,3
KCNQ1,no_gnomad_record,118
KCNQ1,allele_discordance,110
KCNQ1,exact_match,58
RYR2,no_gnomad_record,116
RYR2,allele_discordance,38
RYR2,exact_match,29
SCN5A,no_gnomad_record,176
SCN5A,allele_discordance,155
SCN5A,exact_match,63
TRDN,exact_match,33
TRDN,allele_discordance,12
TRDN,no_gnomad_record,6
