ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,334,115,17,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,8,109,8,53,0,56,0.13114754098360656,1.0,0.5137614678899083,0.48623853211009177,0.0,Wilson 95%,0.06797996145868099,0.23802112426406494,0.6755843804891231,1.0,0.4210714006745304,0.6055145392625141,0.39448546073748586,0.5789285993254696,0.0,0.3244156195108769,53,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,334,115,17,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,8,109,8,9,0,100,0.47058823529411764,1.0,0.9174311926605505,0.08256880733944955,0.0,Wilson 95%,0.26164801196088106,0.6903710268845051,0.6755843804891231,1.0,0.8504863891311362,0.9559537889592135,0.044046211040786556,0.14951361086886378,0.0,0.3244156195108769,53,44,83.01886792452831
5,VITAL_red_AC_ge_5,334,115,17,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,8,109,4,0,4,109,1.0,0.5,1.0,0.0,0.5,Wilson 95%,0.5100999795960008,1.0,0.21521252682444186,0.7847874731755582,0.9659558177126165,0.9999999999999999,0.0,0.03404418228738337,0.21521252682444186,0.7847874731755582,53,53,100.0
10,naive_AF_gt_1e-5,334,115,15,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,7,109,7,53,0,56,0.11666666666666667,1.0,0.5137614678899083,0.48623853211009177,0.0,Wilson 95%,0.05767647403450049,0.2217902059985814,0.6456611570247934,1.0,0.4210714006745304,0.6055145392625141,0.39448546073748586,0.5789285993254696,0.0,0.35433884297520657,53,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,334,115,15,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,7,109,7,8,0,101,0.4666666666666667,1.0,0.926605504587156,0.07339449541284404,0.0,Wilson 95%,0.24809225259746442,0.6988336984894921,0.6456611570247934,1.0,0.8618207698396362,0.9623433682087431,0.03765663179125689,0.1381792301603638,0.0,0.35433884297520657,53,45,84.90566037735849
10,VITAL_red_AC_ge_10,334,115,15,4,CACNB2:VCV003774534:VITAL=71.3; KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,1,CACNB2:VCV003774534:VITAL=71.3,0,,7,109,4,0,3,109,1.0,0.5714285714285714,1.0,0.0,0.42857142857142855,Wilson 95%,0.5100999795960008,1.0,0.2504542304090258,0.8417830777373732,0.9659558177126165,0.9999999999999999,0.0,0.03404418228738337,0.15821692226262685,0.7495457695909742,53,53,100.0
20,naive_AF_gt_1e-5,334,115,9,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,0,,0,,3,109,3,53,0,56,0.05357142857142857,1.0,0.5137614678899083,0.48623853211009177,0.0,Wilson 95%,0.01838544792866792,0.14607539536429218,0.43849391955098227,1.0,0.4210714006745304,0.6055145392625141,0.39448546073748586,0.5789285993254696,0.0,0.5615060804490177,53,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,334,115,9,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,0,,0,,3,109,3,6,0,103,0.3333333333333333,1.0,0.944954128440367,0.05504587155963303,0.0,Wilson 95%,0.12058159868274293,0.6458026525009102,0.43849391955098227,1.0,0.8850813031908665,0.9745307547735721,0.02546924522642792,0.11491869680913343,0.0,0.5615060804490177,53,47,88.67924528301887
20,VITAL_red_AC_ge_20,334,115,9,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,3,KCNH2:VCV004535537:VITAL=70.3; SCN5A:VCV000440850:VITAL=96.1; TRDN:VCV001325231:VITAL=74.3,0,,0,,3,109,3,0,0,109,1.0,1.0,1.0,0.0,0.0,Wilson 95%,0.43849391955098227,1.0,0.43849391955098227,1.0,0.9659558177126165,0.9999999999999999,0.0,0.03404418228738337,0.0,0.5615060804490177,53,53,100.0
50,naive_AF_gt_1e-5,334,115,3,1,SCN5A:VCV000440850:VITAL=96.1,1,SCN5A:VCV000440850:VITAL=96.1,0,,2,KCNH2:VCV004535537:VITAL=70.3; TRDN:VCV001325231:VITAL=74.3,1,109,1,53,0,56,0.018518518518518517,1.0,0.5137614678899083,0.48623853211009177,0.0,Wilson 95%,0.0032764033153519848,0.09771665358487208,0.20654329147389294,1.0,0.4210714006745304,0.6055145392625141,0.39448546073748586,0.5789285993254696,0.0,0.7934567085261071,53,0,0.0
