score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,27,3,24,0,85,0.1111111111111111,1.0,0.7798165137614679,0.22018348623853212
45,17,3,14,0,95,0.17647058823529413,1.0,0.8715596330275229,0.12844036697247707
50,12,3,9,0,100,0.25,1.0,0.9174311926605505,0.08256880733944955
55,8,3,5,0,104,0.375,1.0,0.9541284403669725,0.045871559633027525
60,5,3,2,0,107,0.6,1.0,0.981651376146789,0.01834862385321101
65,3,3,0,0,109,1.0,1.0,1.0,0.0
70,3,3,0,0,109,1.0,1.0,1.0,0.0
75,1,1,0,2,109,1.0,0.3333333333333333,1.0,0.0
80,1,1,0,2,109,1.0,0.3333333333333333,1.0,0.0
85,1,1,0,2,109,1.0,0.3333333333333333,1.0,0.0
90,1,1,0,2,109,1.0,0.3333333333333333,1.0,0.0
95,1,1,0,2,109,1.0,0.3333333333333333,1.0,0.0
