target,iteration,red_count,red_event_count,red_event_rate
broad_PLP_to_non_PLP_or_missing,0,4,1,0.25
broad_PLP_to_non_PLP_or_missing,1,2,0,0.0
broad_PLP_to_non_PLP_or_missing,2,4,4,1.0
broad_PLP_to_non_PLP_or_missing,3,3,3,1.0
broad_PLP_to_non_PLP_or_missing,4,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,5,4,3,0.75
broad_PLP_to_non_PLP_or_missing,6,2,1,0.5
broad_PLP_to_non_PLP_or_missing,7,1,0,0.0
broad_PLP_to_non_PLP_or_missing,8,1,1,1.0
broad_PLP_to_non_PLP_or_missing,9,6,3,0.5
broad_PLP_to_non_PLP_or_missing,10,3,3,1.0
broad_PLP_to_non_PLP_or_missing,11,1,1,1.0
broad_PLP_to_non_PLP_or_missing,12,5,1,0.2
broad_PLP_to_non_PLP_or_missing,13,4,3,0.75
broad_PLP_to_non_PLP_or_missing,14,4,3,0.75
broad_PLP_to_non_PLP_or_missing,15,5,3,0.6
broad_PLP_to_non_PLP_or_missing,16,5,2,0.4
broad_PLP_to_non_PLP_or_missing,17,2,1,0.5
broad_PLP_to_non_PLP_or_missing,18,6,3,0.5
broad_PLP_to_non_PLP_or_missing,19,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,20,3,3,1.0
broad_PLP_to_non_PLP_or_missing,21,4,3,0.75
broad_PLP_to_non_PLP_or_missing,22,4,0,0.0
broad_PLP_to_non_PLP_or_missing,23,5,3,0.6
broad_PLP_to_non_PLP_or_missing,24,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,25,5,3,0.6
broad_PLP_to_non_PLP_or_missing,26,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,27,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,28,4,1,0.25
broad_PLP_to_non_PLP_or_missing,29,2,1,0.5
broad_PLP_to_non_PLP_or_missing,30,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,31,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,32,7,4,0.5714285714285714
broad_PLP_to_non_PLP_or_missing,33,4,2,0.5
broad_PLP_to_non_PLP_or_missing,34,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,35,5,2,0.4
broad_PLP_to_non_PLP_or_missing,36,4,2,0.5
broad_PLP_to_non_PLP_or_missing,37,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,38,5,2,0.4
broad_PLP_to_non_PLP_or_missing,39,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,40,4,2,0.5
broad_PLP_to_non_PLP_or_missing,41,5,3,0.6
broad_PLP_to_non_PLP_or_missing,42,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,43,5,2,0.4
broad_PLP_to_non_PLP_or_missing,44,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,45,6,3,0.5
broad_PLP_to_non_PLP_or_missing,46,5,4,0.8
broad_PLP_to_non_PLP_or_missing,47,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,48,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,49,7,4,0.5714285714285714
broad_PLP_to_non_PLP_or_missing,50,2,2,1.0
broad_PLP_to_non_PLP_or_missing,51,2,2,1.0
broad_PLP_to_non_PLP_or_missing,52,0,0,
broad_PLP_to_non_PLP_or_missing,53,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,54,7,4,0.5714285714285714
broad_PLP_to_non_PLP_or_missing,55,4,2,0.5
broad_PLP_to_non_PLP_or_missing,56,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,57,9,6,0.6666666666666666
