score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,2,0,2,0,155,0.0,,0.9872611464968153,0.012738853503184714
45,1,0,1,0,156,0.0,,0.9936305732484076,0.006369426751592357
50,1,0,1,0,156,0.0,,0.9936305732484076,0.006369426751592357
55,1,0,1,0,156,0.0,,0.9936305732484076,0.006369426751592357
60,0,0,0,0,157,,,1.0,0.0
65,0,0,0,0,157,,,1.0,0.0
70,0,0,0,0,157,,,1.0,0.0
75,0,0,0,0,157,,,1.0,0.0
80,0,0,0,0,157,,,1.0,0.0
85,0,0,0,0,157,,,1.0,0.0
90,0,0,0,0,157,,,1.0,0.0
95,0,0,0,0,157,,,1.0,0.0
