GeneSymbol,total_clinvar_variants,exact_variant_match,position_present_no_exact_allele_match,no_gnomad_record_at_queried_position,exact_match_fraction
KCNH2,726,97,376,253,0.13360881542699724
KCNQ1,543,148,171,224,0.27255985267034993
SCN5A,543,95,196,252,0.17495395948434622
RYR2,256,36,48,172,0.140625
CASQ2,79,42,22,15,0.5316455696202531
TRDN,55,23,25,7,0.41818181818181815
CALM1,20,0,3,17,0.0
CALM2,19,1,2,16,0.05263157894736842
CALM3,8,0,3,5,0.0
KCNQ1;KCNQ1OT1,2,0,2,0,0.0
KCNQ1;KCNQ1-AS1;KCNQ1OT1;LOC106783508;LOC132089927;LOC132090832;LOC132090832;KCNQ1;KCNQ1-AS1;KCNQ1OT1;LOC106783508;LOC132089927,1,0,0,1,0.0
KCNQ1;KCNQ1OT1;LOC106783508,1,0,1,0,0.0
