gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
COL4A5,30,5,0,0,0,0,0.0,0.0,0.9166666666666666,frequency_constrained
ENG,15,4,0,0,0,0,0.0,0.0,0.9,frequency_constrained
RB1,19,4,0,0,0,0,0.0,0.0,0.9,frequency_constrained
CHD7,18,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
COL3A1,22,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
GCK,9,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
PHEX,23,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
MSH2,58,9,1,0,0,0,0.1111111111111111,0.0,0.85,frequency_constrained
CACNA1A,12,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
FAS,2,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
GLA,16,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
NBN,11,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
RPGR,15,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
NF1,102,9,2,0,0,0,0.2222222222222222,0.0,0.75,frequency_constrained
CHEK2,16,5,1,0,0,0,0.2,0.0,0.75,frequency_constrained
GAA,13,5,1,0,0,0,0.2,0.0,0.75,frequency_constrained
ABCD1,7,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ACTA2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ACVRL1,9,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ADAMTS18,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AGTPBP1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AHI1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ALDH7A1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ALG6,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
