target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-5,2,103,21,2874,0.01904761904761905,0.08695652173913043,0.965401410816258,0.03459858918374202,0.9130434782608695,Wilson 95%,0.005239072265250375,0.06680691015323666,0.02417949540723341,0.2679640429809402,0.9582132634782019,0.9713899734063074,0.02861002659369251,0.041786736521798096,0.7320359570190598,0.9758205045927666
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-4,1,9,22,2968,0.1,0.043478260869565216,0.9969768223043333,0.0030231776956667787,0.9565217391304348,Wilson 95%,0.01787574951572113,0.4041563854975721,0.0077164669621267445,0.20991586494059142,0.994263993994832,0.9984086793870747,0.001591320612925341,0.005736006005168019,0.7900841350594088,0.9922835330378734
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-5,7,372,16,2605,0.018469656992084433,0.30434782608695654,0.8750419885791065,0.12495801142089352,0.6956521739130435,Wilson 95%,0.008974760166368917,0.03762832580965877,0.15603828020972454,0.5086612906057261,0.8626779266123872,0.8864393696572301,0.11356063034276995,0.1373220733876128,0.49133870939427393,0.8439617197902755
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-4,1,79,22,2898,0.0125,0.043478260869565216,0.9734632180047027,0.026536781995297277,0.9565217391304348,Wilson 95%,0.002209918618306224,0.06746432423965451,0.0077164669621267445,0.20991586494059142,0.9670509318293988,0.9786551399055098,0.021344860094490145,0.03294906817060116,0.7900841350594088,0.9922835330378734
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_5,3,120,20,2857,0.024390243902439025,0.13043478260869565,0.9596909640577763,0.040309035942223716,0.8695652173913043,Wilson 95%,0.00832891348479355,0.06926077317951848,0.04537576514344702,0.32127897973018194,0.9520129269377792,0.9661841352610309,0.0338158647389692,0.04798707306222091,0.678721020269818,0.954624234856553
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_10,3,109,20,2868,0.026785714285714284,0.13043478260869565,0.9633859590191468,0.036614040980853205,0.8695652173913043,Wilson 95%,0.009150654164698513,0.07580673592659858,0.04537576514344702,0.32127897973018194,0.956020028439759,0.9695574997321507,0.030442500267849327,0.043979971560241096,0.678721020269818,0.954624234856553
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_20,2,85,21,2892,0.022988505747126436,0.08695652173913043,0.9714477662075915,0.028552233792408465,0.9130434782608695,Wilson 95%,0.006326952471398799,0.07999473274770788,0.02417949540723341,0.2679640429809402,0.9648305560199477,0.9768498070023612,0.023150192997638864,0.03516944398005228,0.7320359570190598,0.9758205045927666
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_50,2,35,21,2942,0.05405405405405406,0.08695652173913043,0.9882431978501848,0.01175680214981525,0.9130434782608695,Wilson 95%,0.01495066277053994,0.1770496506353991,0.02417949540723341,0.2679640429809402,0.9836935682781509,0.9915343673491566,0.008465632650843446,0.016306431721849153,0.7320359570190598,0.9758205045927666
strict_PLP_to_BLB_or_VUS,VITAL_red,1,12,22,2965,0.07692307692307693,0.043478260869565216,0.9959690964057776,0.004030903594222372,0.9565217391304348,Wilson 95%,0.013710066379696323,0.3331453392824736,0.0077164669621267445,0.20991586494059142,0.992967177737994,0.9976926412876126,0.0023073587123873234,0.007032822262005949,0.7900841350594088,0.9922835330378734
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-5,10,95,109,2786,0.09523809523809523,0.08403361344537816,0.9670253384241583,0.032974661575841724,0.9159663865546218,Wilson 95%,0.05255574298315682,0.1664928560819065,0.04628430944499089,0.14779977933275218,0.9598574670689418,0.9729493809742921,0.02705061902570791,0.0401425329310581,0.8522002206672478,0.9537156905550092
