scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
all_baseline_plp,strict_PLP_to_BLB_or_VUS,40,203,4,199,19,2778,0.019704433497536946,0.17391304347826086,0.933154182062479,0.066845817937521
all_baseline_plp,strict_PLP_to_BLB_or_VUS,45,154,3,151,20,2826,0.01948051948051948,0.13043478260869565,0.9492777964393685,0.05072220356063151
all_baseline_plp,strict_PLP_to_BLB_or_VUS,50,122,2,120,21,2857,0.01639344262295082,0.08695652173913043,0.9596909640577763,0.040309035942223716
all_baseline_plp,strict_PLP_to_BLB_or_VUS,55,84,2,82,21,2895,0.023809523809523808,0.08695652173913043,0.9724554921061471,0.027544507893852873
all_baseline_plp,strict_PLP_to_BLB_or_VUS,60,62,1,61,22,2916,0.016129032258064516,0.043478260869565216,0.9795095733960363,0.020490426603963722
all_baseline_plp,strict_PLP_to_BLB_or_VUS,65,41,1,40,22,2937,0.024390243902439025,0.043478260869565216,0.9865636546859254,0.013436345314074572
all_baseline_plp,strict_PLP_to_BLB_or_VUS,70,33,1,32,22,2945,0.030303030303030304,0.043478260869565216,0.9892509237487404,0.010749076251259657
all_baseline_plp,strict_PLP_to_BLB_or_VUS,75,26,1,25,22,2952,0.038461538461538464,0.043478260869565216,0.9916022841787034,0.008397715821296607
all_baseline_plp,strict_PLP_to_BLB_or_VUS,80,18,0,18,23,2959,0.0,0.0,0.9939536446086664,0.006046355391333557
all_baseline_plp,strict_PLP_to_BLB_or_VUS,85,5,0,5,23,2972,0.0,0.0,0.9983204568357407,0.0016795431642593216
all_baseline_plp,strict_PLP_to_BLB_or_VUS,90,1,0,1,23,2976,0.0,0.0,0.9996640913671482,0.0003359086328518643
all_baseline_plp,strict_PLP_to_BLB_or_VUS,95,0,0,0,23,2977,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,40,203,15,188,104,2693,0.07389162561576355,0.12605042016806722,0.9347448802499132,0.06525511975008677
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,45,154,10,144,109,2737,0.06493506493506493,0.08403361344537816,0.9500173550850399,0.04998264491496009
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,50,122,9,113,110,2768,0.07377049180327869,0.07563025210084033,0.9607775078097883,0.03922249219021173
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,55,84,8,76,111,2805,0.09523809523809523,0.06722689075630252,0.9736202707393267,0.026379729260673376
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,60,62,5,57,114,2824,0.08064516129032258,0.04201680672268908,0.9802152030544949,0.019784796945505032
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,65,41,3,38,116,2843,0.07317073170731707,0.025210084033613446,0.9868101353696633,0.013189864630336688
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,70,33,2,31,117,2850,0.06060606060606061,0.01680672268907563,0.9892398472752516,0.010760152724748352
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,75,26,2,24,117,2857,0.07692307692307693,0.01680672268907563,0.99166955918084,0.008330440819160014
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,80,18,1,17,118,2864,0.05555555555555555,0.008403361344537815,0.9940992710864284,0.005900728913571677
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,85,5,0,5,119,2876,0.0,0.0,0.9982644914960084,0.0017355085039916696
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,90,1,0,1,119,2880,0.0,0.0,0.9996528982992017,0.0003471017007983339
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,95,0,0,0,119,2881,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,40,203,87,116,707,2090,0.42857142857142855,0.10957178841309824,0.9474161378059837,0.05258386219401632
