ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,732,379,123,16,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,3,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; UROS:VCV000030626:VITAL=82.5,0,,51,352,51,180,0,172,0.22077922077922077,1.0,0.48863636363636365,0.5113636363636364,0.0,Wilson 95%,0.17210142724225444,0.2785921466390341,0.9299509861127319,0.9999999999999999,0.43682086226464373,0.5406972244346067,0.45930277556539323,0.5631791377353562,0.0,0.07004901388726806,180,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,732,379,123,16,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,3,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; UROS:VCV000030626:VITAL=82.5,0,,51,352,51,72,0,280,0.4146341463414634,1.0,0.7954545454545454,0.20454545454545456,0.0,Wilson 95%,0.33144299050634907,0.5029961840231428,0.9299509861127319,0.9999999999999999,0.750232451485028,0.83429729433446,0.16570270566553996,0.2497675485149718,0.0,0.07004901388726806,180,108,60.0
5,VITAL_red_AC_ge_5,732,379,123,16,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,3,ABCC6:VCV000433415:VITAL=75.2; BARD1:VCV000460754:VITAL=70.2; UROS:VCV000030626:VITAL=82.5,0,,51,352,16,0,35,352,1.0,0.3137254901960784,1.0,0.0,0.6862745098039216,Wilson 95%,0.8063865817272802,1.0,0.20327509667785154,0.45027257516250324,0.98920418523298,1.0,8.673617379884035e-19,0.010795814767019931,0.5497274248374967,0.7967249033221485,180,180,100.0
10,naive_AF_gt_1e-5,732,379,112,15,ABCC6:VCV000433415:VITAL=75.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,2,ABCC6:VCV000433415:VITAL=75.2; UROS:VCV000030626:VITAL=82.5,0,,44,352,44,180,0,172,0.19642857142857142,1.0,0.48863636363636365,0.5113636363636364,0.0,Wilson 95%,0.14970509571697738,0.25338898367853246,0.9197016822179859,0.9999999999999999,0.43682086226464373,0.5406972244346067,0.45930277556539323,0.5631791377353562,6.938893903907228e-18,0.08029831778201396,180,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,732,379,112,15,ABCC6:VCV000433415:VITAL=75.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,2,ABCC6:VCV000433415:VITAL=75.2; UROS:VCV000030626:VITAL=82.5,0,,44,352,44,68,0,284,0.39285714285714285,1.0,0.8068181818181818,0.19318181818181818,0.0,Wilson 95%,0.3074014855839453,0.48541905556880116,0.9197016822179859,0.9999999999999999,0.762352026918367,0.8446596322018707,0.15534036779812926,0.23764797308163293,6.938893903907228e-18,0.08029831778201396,180,112,62.22222222222222
10,VITAL_red_AC_ge_10,732,379,112,15,ABCC6:VCV000433415:VITAL=75.2; CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; UROS:VCV000030626:VITAL=82.5; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,2,ABCC6:VCV000433415:VITAL=75.2; UROS:VCV000030626:VITAL=82.5,0,,44,352,15,0,29,352,1.0,0.3409090909090909,1.0,0.0,0.6590909090909091,Wilson 95%,0.7961107336956521,1.0,0.21875632628639946,0.4886113202806049,0.98920418523298,1.0,8.673617379884035e-19,0.010795814767019931,0.5113886797193951,0.7812436737136005,180,180,100.0
20,naive_AF_gt_1e-5,732,379,87,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,0,,0,,29,352,29,180,0,172,0.13875598086124402,1.0,0.48863636363636365,0.5113636363636364,0.0,Wilson 95%,0.09837803339536333,0.19217418947836068,0.8830264055344442,1.0,0.43682086226464373,0.5406972244346067,0.45930277556539323,0.5631791377353562,0.0,0.11697359446555587,180,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,732,379,87,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,0,,0,,29,352,29,58,0,294,0.3333333333333333,1.0,0.8352272727272727,0.16477272727272727,0.0,Wilson 95%,0.2431846311443509,0.4375783673056985,0.8830264055344442,1.0,0.7928932828832328,0.8703231594888788,0.12967684051112116,0.20710671711676715,0.0,0.11697359446555587,180,122,67.77777777777779
20,VITAL_red_AC_ge_20,732,379,87,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,13,CFAP91:VCV000812096:VITAL=76.5; DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001029334:VITAL=84.9; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; SLC38A8:VCV000988803:VITAL=79.1; THG1L:VCV000441070:VITAL=90.2; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,0,,0,,29,352,13,0,16,352,1.0,0.4482758620689655,1.0,0.0,0.5517241379310345,Wilson 95%,0.7718981569447083,1.0,0.2841291114874579,0.6245233293193238,0.98920418523298,1.0,8.673617379884035e-19,0.010795814767019931,0.37547667068067625,0.715870888512542,180,180,100.0
50,naive_AF_gt_1e-5,732,379,37,6,CFAP91:VCV000812096:VITAL=76.5; DPYS:VCV001029334:VITAL=84.9; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; THG1L:VCV000441070:VITAL=90.2,6,CFAP91:VCV000812096:VITAL=76.5; DPYS:VCV001029334:VITAL=84.9; IFNAR2:VCV000218160:VITAL=70.0; LIPH:VCV000003303:VITAL=87.3; MANBA:VCV001705136:VITAL=81.3; THG1L:VCV000441070:VITAL=90.2,0,,7,DMD:VCV000998160:VITAL=75.7; DNAH5:VCV000970097:VITAL=81.1; DPYS:VCV001360900:VITAL=81.0; EYS:VCV000636023:VITAL=82.5; SLC38A8:VCV000988803:VITAL=79.1; VPS13B:VCV001488673:VITAL=73.6; XRCC1:VCV000433531:VITAL=76.9,12,352,12,180,0,172,0.0625,1.0,0.48863636363636365,0.5113636363636364,0.0,Wilson 95%,0.03611029002738631,0.10605358118281621,0.7574992425007574,1.0,0.43682086226464373,0.5406972244346067,0.45930277556539323,0.5631791377353562,0.0,0.2425007574992425,180,0,0.0
