score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,132,29,103,0,249,0.2196969696969697,1.0,0.7073863636363636,0.29261363636363635
45,111,27,84,2,268,0.24324324324324326,0.9310344827586207,0.7613636363636364,0.23863636363636365
50,89,25,64,4,288,0.2808988764044944,0.8620689655172413,0.8181818181818182,0.18181818181818182
55,60,21,39,8,313,0.35,0.7241379310344828,0.8892045454545454,0.11079545454545454
60,49,18,31,11,321,0.3673469387755102,0.6206896551724138,0.9119318181818182,0.08806818181818182
65,37,15,22,14,330,0.40540540540540543,0.5172413793103449,0.9375,0.0625
70,30,13,17,16,335,0.43333333333333335,0.4482758620689655,0.9517045454545454,0.048295454545454544
75,24,11,13,18,339,0.4583333333333333,0.3793103448275862,0.9630681818181818,0.036931818181818184
80,17,7,10,22,342,0.4117647058823529,0.2413793103448276,0.9715909090909091,0.028409090909090908
85,5,2,3,27,349,0.4,0.06896551724137931,0.9914772727272727,0.008522727272727272
90,1,1,0,28,352,1.0,0.034482758620689655,1.0,0.0
95,0,0,0,29,352,,0.0,1.0,0.0
