gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
COL4A5,30,7,0,0,0,0,0.0,0.0,0.9375,frequency_constrained
RB1,22,4,0,0,0,0,0.0,0.0,0.9,frequency_constrained
RPGR,17,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
ANKRD11,14,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
COL3A1,12,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
DHCR7,3,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
EXT1,15,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
GLA,23,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
MLH1,37,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
SI,2,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
SPAST,13,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
TSC2,28,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
PKD1,55,13,2,0,0,0,0.15384615384615385,0.0,0.8214285714285714,frequency_constrained
PKHD1,27,7,1,0,0,0,0.14285714285714285,0.0,0.8125,frequency_constrained
GCK,12,6,1,0,0,0,0.16666666666666666,0.0,0.7857142857142857,frequency_constrained
BRIP1,21,5,1,0,1,0,0.2,0.0,0.75,frequency_constrained
CAPN3,15,5,1,0,1,0,0.2,0.0,0.75,frequency_constrained
ABHD12,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ADAR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ADCY5,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AHDC1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
APC,45,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ARID1A,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BAP1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BBS12,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BCS1L,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BRAT1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BSND,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CAPRIN1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CCDC88C,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CDH1,13,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CDKN1C,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CDKN2A,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CEP152,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CHD8,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CNKSR2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
COL11A1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
COL9A1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
COLQ,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CTSK,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CYBB,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DGUOK,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DIS3L2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DMD,41,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DNAAF2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DST,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
EHMT1,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ENG,17,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ESCO2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ETFDH,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GAN,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GATA1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GMPPB,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GRIN2B,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GRN,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HBA2,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HSPG2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
IFNAR1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
IRF2BPL,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ITGA2B,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KCTD7,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KMT2D,20,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KMT5B,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KPTN,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
LAMC2,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
LRP5,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MAGEL2,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MAPT,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MECP2,14,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MME,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MOCS2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MPI,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MSH3,8,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MSTO1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MTR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NCKAP1L,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NFKB2;PSD,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NPHP4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NRL,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PHEX,21,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PHKG2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PIGQ,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PITX1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PKD2,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
POMT2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PPP1R21,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RAB23,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RECQL4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RHO,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SAG,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SALL4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SETD1A,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SGCG,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC12A1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC25A1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC6A1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SNX10,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SP110,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SPG7,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SURF1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TBC1D24,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TBC1D32,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TCF3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TMPRSS6,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TSC1,12,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TWIST1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
UBE3B,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
UNC13D,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
VAMP2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
VWF,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
WDR19,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
XPC,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
YARS1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BRCA1,68,8,2,1,0,0,0.25,0.125,0.7222222222222222,frequency_constrained
COL1A2,16,4,1,0,0,0,0.25,0.0,0.7,intermediate
FBN1,69,4,1,0,0,0,0.25,0.0,0.7,intermediate
VPS13A,14,4,1,0,0,0,0.25,0.0,0.7,intermediate
TTN,111,14,5,1,0,0,0.35714285714285715,0.07142857142857142,0.6333333333333333,intermediate
ABCD1,11,3,1,0,0,0,0.3333333333333333,0.0,0.625,intermediate
ALPL,11,3,1,0,1,0,0.3333333333333333,0.0,0.625,intermediate
CBS,3,3,1,0,1,0,0.3333333333333333,0.0,0.625,intermediate
MSH2,49,3,1,0,0,0,0.3333333333333333,0.0,0.625,intermediate
RAD50,10,3,1,0,1,0,0.3333333333333333,0.0,0.625,intermediate
PAH,20,8,3,0,2,0,0.375,0.0,0.6111111111111112,intermediate
ABCC8,10,5,2,1,1,0,0.4,0.2,0.5833333333333334,intermediate
COL4A3,20,5,2,0,0,0,0.4,0.0,0.5833333333333334,intermediate
CRB1,10,5,2,0,0,0,0.4,0.0,0.5833333333333334,intermediate
NF1,117,5,2,0,0,0,0.4,0.0,0.5833333333333334,intermediate
PALB2,32,5,2,0,0,0,0.4,0.0,0.5833333333333334,intermediate
PMS2,16,5,2,0,0,0,0.4,0.0,0.5833333333333334,intermediate
BRCA2,129,14,6,0,2,0,0.42857142857142855,0.0,0.5666666666666667,intermediate
CFTR,28,7,3,0,0,0,0.42857142857142855,0.0,0.5625,intermediate
ATM,70,18,8,0,1,0,0.4444444444444444,0.0,0.5526315789473685,intermediate
EYS,25,11,5,0,0,0,0.45454545454545453,0.0,0.5416666666666666,intermediate
ABCA4,27,15,7,2,3,1,0.4666666666666667,0.13333333333333333,0.53125,intermediate
ALMS1,17,8,4,0,2,0,0.5,0.0,0.5,intermediate
RYR1,20,6,3,0,1,0,0.5,0.0,0.5,intermediate
SACS,21,6,3,0,1,0,0.5,0.0,0.5,intermediate
DNAH11,10,4,2,1,0,0,0.5,0.25,0.5,intermediate
F8,13,4,2,1,2,1,0.5,0.25,0.5,intermediate
GLDC,11,4,2,0,0,0,0.5,0.0,0.5,intermediate
MSH6,46,4,2,1,1,0,0.5,0.25,0.5,intermediate
ACAD9,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
BLM,23,2,1,0,0,0,0.5,0.0,0.5,intermediate
CACNA1A,11,2,1,0,1,1,0.5,0.0,0.5,intermediate
ERCC2,2,2,1,1,1,0,0.5,0.5,0.5,intermediate
FLG,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
GALC,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
GNB5,2,2,1,0,1,0,0.5,0.0,0.5,intermediate
HEXA,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
MUTYH,3,2,1,0,0,0,0.5,0.0,0.5,intermediate
PCDH15,14,2,1,1,0,0,0.5,0.5,0.5,intermediate
PMM2,2,2,1,0,1,0,0.5,0.0,0.5,intermediate
RPE65,3,2,1,0,0,0,0.5,0.0,0.5,intermediate
TAP1,3,2,1,0,1,0,0.5,0.0,0.5,intermediate
WDR62,3,2,1,0,1,0,0.5,0.0,0.5,intermediate
ABCC9,1,0,0,0,0,0,,,0.5,intermediate
ACAN,1,0,0,0,0,0,,,0.5,intermediate
ACAT1,1,0,0,0,0,0,,,0.5,intermediate
ACE,1,0,0,0,0,0,,,0.5,intermediate
ACTA1,1,0,0,0,0,0,,,0.5,intermediate
ACTB,1,0,0,0,0,0,,,0.5,intermediate
ACVRL1,12,0,0,0,0,0,,,0.5,intermediate
ADNP,1,0,0,0,0,0,,,0.5,intermediate
AK2,1,0,0,0,0,0,,,0.5,intermediate
ALDH3A2,1,0,0,0,0,0,,,0.5,intermediate
ALG3,1,0,0,0,0,0,,,0.5,intermediate
ALS2,1,0,0,0,0,0,,,0.5,intermediate
ANK1,13,0,0,0,0,0,,,0.5,intermediate
AP3B1,1,0,0,0,0,0,,,0.5,intermediate
APC2,1,0,0,0,0,0,,,0.5,intermediate
APP,1,0,0,0,0,0,,,0.5,intermediate
APTX,1,0,0,0,0,0,,,0.5,intermediate
AR,2,0,0,0,0,0,,,0.5,intermediate
ARHGAP35,1,0,0,0,0,0,,,0.5,intermediate
ARID1B,7,0,0,0,0,0,,,0.5,intermediate
ARID2,1,0,0,0,0,0,,,0.5,intermediate
ARSB,1,0,0,0,0,0,,,0.5,intermediate
ASNS,1,0,0,0,0,0,,,0.5,intermediate
ASPA,1,0,0,0,0,0,,,0.5,intermediate
ASXL3,1,0,0,0,0,0,,,0.5,intermediate
ATP1A1,1,0,0,0,0,0,,,0.5,intermediate
ATP1A3,1,0,0,0,0,0,,,0.5,intermediate
ATP6V1B1,1,0,0,0,0,0,,,0.5,intermediate
ATP7A,1,0,0,0,0,0,,,0.5,intermediate
AVPR2,1,0,0,0,0,0,,,0.5,intermediate
AXIN2,1,0,0,0,0,0,,,0.5,intermediate
BAG3,2,0,0,0,0,0,,,0.5,intermediate
BBS1,1,0,0,0,0,0,,,0.5,intermediate
BBS2,1,0,0,0,0,0,,,0.5,intermediate
BBS7,1,0,0,0,0,0,,,0.5,intermediate
BCHE,1,0,0,0,0,0,,,0.5,intermediate
BCKDHA,1,0,0,0,0,0,,,0.5,intermediate
BICD2,1,0,0,0,0,0,,,0.5,intermediate
BRPF1,1,0,0,0,0,0,,,0.5,intermediate
BRWD3,1,0,0,0,0,0,,,0.5,intermediate
BTD,1,0,0,0,0,0,,,0.5,intermediate
BTK,1,0,0,0,0,0,,,0.5,intermediate
C2orf69,1,0,0,0,0,0,,,0.5,intermediate
CACNA1F,2,0,0,0,0,0,,,0.5,intermediate
CAMTA1,1,0,0,0,0,0,,,0.5,intermediate
CASK,3,0,0,0,0,0,,,0.5,intermediate
CCDC39,1,0,0,0,0,0,,,0.5,intermediate
CD151,1,0,0,0,0,0,,,0.5,intermediate
CD3G,1,0,0,0,0,0,,,0.5,intermediate
CDK13,1,0,0,0,0,0,,,0.5,intermediate
CEP164,1,0,0,0,0,0,,,0.5,intermediate
CFI,1,0,0,0,0,0,,,0.5,intermediate
CIITA,2,0,0,0,0,0,,,0.5,intermediate
CLN8,1,0,0,0,0,0,,,0.5,intermediate
CNGA3,1,0,0,0,0,0,,,0.5,intermediate
CNTN2,1,0,0,0,0,0,,,0.5,intermediate
