ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,668,332,105,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,27,394,27,223,0,171,0.108,1.0,0.434010152284264,0.565989847715736,0.0,Wilson 95%,0.07529144734526685,0.1525734888984379,0.8754409628553641,1.0,0.38594024201777183,0.4833544722604736,0.5166455277395264,0.6140597579822281,6.938893903907228e-18,0.12455903714463581,223,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,668,332,105,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,27,394,27,78,0,316,0.2571428571428571,1.0,0.8020304568527918,0.19796954314720813,0.0,Wilson 95%,0.18315791773630993,0.34827124170272794,0.8754409628553641,1.0,0.7598498025759732,0.8383782359197496,0.1616217640802503,0.24015019742402677,6.938893903907228e-18,0.12455903714463581,223,145,65.02242152466367
5,VITAL_red_AC_ge_5,668,332,105,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,27,394,3,0,24,394,1.0,0.1111111111111111,1.0,0.0,0.8888888888888888,Wilson 95%,0.43849391955098227,1.0,0.03851964789498724,0.2805818254397295,0.9903438956609868,1.0,8.673617379884035e-19,0.009656104339013316,0.7194181745602705,0.9614803521050127,223,223,100.0
10,naive_AF_gt_1e-5,668,332,92,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,25,394,25,223,0,171,0.10080645161290322,1.0,0.434010152284264,0.565989847715736,0.0,Wilson 95%,0.06921587389317965,0.1445756522089417,0.8668035060468213,1.0,0.38594024201777183,0.4833544722604736,0.5166455277395264,0.6140597579822281,0.0,0.13319649395317873,223,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,668,332,92,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,25,394,25,67,0,327,0.2717391304347826,1.0,0.8299492385786802,0.1700507614213198,0.0,Wilson 95%,0.19135648353357726,0.3704204484041199,0.8668035060468213,1.0,0.7897098669247865,0.8638165616839865,0.13618343831601357,0.21029013307521352,0.0,0.13319649395317873,223,156,69.95515695067265
10,VITAL_red_AC_ge_10,668,332,92,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,25,394,3,0,22,394,1.0,0.12,1.0,0.0,0.88,Wilson 95%,0.43849391955098227,1.0,0.04166741357068093,0.2995619218337349,0.9903438956609868,1.0,8.673617379884035e-19,0.009656104339013316,0.7004380781662651,0.9583325864293191,223,223,100.0
20,naive_AF_gt_1e-5,668,332,71,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,16,394,16,223,0,171,0.06694560669456066,1.0,0.434010152284264,0.565989847715736,0.0,Wilson 95%,0.041623741065227725,0.10596876367860528,0.8063865817272802,1.0,0.38594024201777183,0.4833544722604736,0.5166455277395264,0.6140597579822281,0.0,0.19361341827271994,223,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,668,332,71,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,16,394,16,55,0,339,0.22535211267605634,1.0,0.8604060913705583,0.13959390862944163,0.0,Wilson 95%,0.1437454836103039,0.33515395199770026,0.8063865817272802,1.0,0.8226932208416071,0.8911587242541295,0.10884127574587049,0.17730677915839294,0.0,0.19361341827271994,223,168,75.33632286995515
20,VITAL_red_AC_ge_20,668,332,71,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,16,394,3,0,13,394,1.0,0.1875,1.0,0.0,0.8125,Wilson 95%,0.43849391955098227,1.0,0.06591478773586765,0.4300935986845823,0.9903438956609868,1.0,8.673617379884035e-19,0.009656104339013316,0.5699064013154177,0.9340852122641324,223,223,100.0
50,naive_AF_gt_1e-5,668,332,34,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,6,394,6,223,0,171,0.026200873362445413,1.0,0.434010152284264,0.565989847715736,0.0,Wilson 95%,0.012062040561179502,0.055973911777234236,0.6096569663469354,0.9999999999999999,0.38594024201777183,0.4833544722604736,0.5166455277395264,0.6140597579822281,0.0,0.3903430336530645,223,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,668,332,34,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,3,DYNC2H1:VCV002749617:VITAL=75.2; MNS1:VCV003024123:VITAL=88.3; PRG4:VCV003574703:VITAL=91.1,0,,0,,6,394,6,28,0,366,0.17647058823529413,1.0,0.9289340101522843,0.07106598984771574,0.0,Wilson 95%,0.08348855603569685,0.33514067740052156,0.6096569663469354,0.9999999999999999,0.899206861821105,0.9503774953702998,0.049622504629700206,0.10079313817889497,0.0,0.3903430336530645,223,195,87.4439461883408
