score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,122,16,106,0,288,0.13114754098360656,1.0,0.7309644670050761,0.26903553299492383
45,102,15,87,1,307,0.14705882352941177,0.9375,0.7791878172588832,0.22081218274111675
50,77,11,66,5,328,0.14285714285714285,0.6875,0.8324873096446701,0.16751269035532995
55,52,7,45,9,349,0.1346153846153846,0.4375,0.8857868020304569,0.11421319796954314
60,38,6,32,10,362,0.15789473684210525,0.375,0.9187817258883249,0.08121827411167512
65,26,5,21,11,373,0.19230769230769232,0.3125,0.9467005076142132,0.0532994923857868
70,18,3,15,13,379,0.16666666666666666,0.1875,0.9619289340101523,0.03807106598984772
75,16,3,13,13,381,0.1875,0.1875,0.9670050761421319,0.03299492385786802
80,13,2,11,14,383,0.15384615384615385,0.125,0.9720812182741116,0.027918781725888325
85,6,2,4,14,390,0.3333333333333333,0.125,0.9898477157360406,0.01015228426395939
90,1,1,0,15,394,1.0,0.0625,1.0,0.0
95,0,0,0,16,394,,0.0,1.0,0.0
