target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-5,0,5,1,294,0.0,0.0,0.9832775919732442,0.016722408026755852,1.0,Wilson 95%,0.0,0.43449149475208104,0.0,0.7934567085261071,0.9614575768055825,0.9928366813148343,0.0071633186851657385,0.038542423194417516,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-4,0,0,1,299,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.7934567085261071,0.9873148206851372,1.0,0.0,0.012685179314862951,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-5,0,29,1,270,0.0,0.0,0.903010033444816,0.09698996655518395,1.0,Wilson 95%,0.0,0.11697359446555587,0.0,0.7934567085261071,0.86417627090066,0.9316192869090993,0.06838071309090066,0.1358237290993401,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-4,0,2,1,297,0.0,0.0,0.9933110367892977,0.006688963210702341,1.0,Wilson 95%,0.0,0.6576280471103807,0.0,0.7934567085261071,0.9759428328776081,0.9981637627816409,0.0018362372183591338,0.02405716712239194,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_5,0,5,1,294,0.0,0.0,0.9832775919732442,0.016722408026755852,1.0,Wilson 95%,0.0,0.43449149475208104,0.0,0.7934567085261071,0.9614575768055825,0.9928366813148343,0.0071633186851657385,0.038542423194417516,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_10,0,5,1,294,0.0,0.0,0.9832775919732442,0.016722408026755852,1.0,Wilson 95%,0.0,0.43449149475208104,0.0,0.7934567085261071,0.9614575768055825,0.9928366813148343,0.0071633186851657385,0.038542423194417516,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_20,0,2,1,297,0.0,0.0,0.9933110367892977,0.006688963210702341,1.0,Wilson 95%,0.0,0.6576280471103807,0.0,0.7934567085261071,0.9759428328776081,0.9981637627816409,0.0018362372183591338,0.02405716712239194,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_50,0,0,1,299,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.7934567085261071,0.9873148206851372,1.0,0.0,0.012685179314862951,0.20654329147389294,1.0
strict_PLP_to_BLB_or_VUS,VITAL_red,0,0,1,299,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.7934567085261071,0.9873148206851372,1.0,0.0,0.012685179314862951,0.20654329147389294,1.0
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-5,0,5,22,273,0.0,0.0,0.9820143884892086,0.017985611510791366,1.0,Wilson 95%,0.0,0.43449149475208104,1.3877787807814457e-17,0.14865952572596125,0.9585948449904311,0.9922938811592927,0.007706118840707321,0.04140515500956886,0.8513404742740388,1.0
