scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
all_baseline_plp,strict_PLP_to_BLB_or_VUS,40,12,0,12,1,287,0.0,0.0,0.959866220735786,0.04013377926421405
all_baseline_plp,strict_PLP_to_BLB_or_VUS,45,6,0,6,1,293,0.0,0.0,0.979933110367893,0.020066889632107024
all_baseline_plp,strict_PLP_to_BLB_or_VUS,50,5,0,5,1,294,0.0,0.0,0.9832775919732442,0.016722408026755852
all_baseline_plp,strict_PLP_to_BLB_or_VUS,55,4,0,4,1,295,0.0,0.0,0.9866220735785953,0.013377926421404682
all_baseline_plp,strict_PLP_to_BLB_or_VUS,60,3,0,3,1,296,0.0,0.0,0.9899665551839465,0.010033444816053512
all_baseline_plp,strict_PLP_to_BLB_or_VUS,65,1,0,1,1,298,0.0,0.0,0.9966555183946488,0.0033444816053511705
all_baseline_plp,strict_PLP_to_BLB_or_VUS,70,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,75,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,80,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,85,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,90,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,95,0,0,0,1,299,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,40,12,1,11,21,267,0.08333333333333333,0.045454545454545456,0.960431654676259,0.039568345323741004
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,45,6,1,5,21,273,0.16666666666666666,0.045454545454545456,0.9820143884892086,0.017985611510791366
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,50,5,0,5,22,273,0.0,0.0,0.9820143884892086,0.017985611510791366
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,55,4,0,4,22,274,0.0,0.0,0.9856115107913669,0.014388489208633094
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,60,3,0,3,22,275,0.0,0.0,0.9892086330935251,0.01079136690647482
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,65,1,0,1,22,277,0.0,0.0,0.9964028776978417,0.0035971223021582736
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,70,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,75,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,80,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,85,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,90,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,95,0,0,0,22,278,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,40,12,4,8,87,201,0.3333333333333333,0.04395604395604396,0.9617224880382775,0.03827751196172249
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,45,6,3,3,88,206,0.5,0.03296703296703297,0.9856459330143541,0.014354066985645933
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,50,5,2,3,89,206,0.4,0.02197802197802198,0.9856459330143541,0.014354066985645933
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,55,4,2,2,89,207,0.5,0.02197802197802198,0.9904306220095693,0.009569377990430622
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,60,3,1,2,90,207,0.3333333333333333,0.01098901098901099,0.9904306220095693,0.009569377990430622
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,65,1,1,0,90,209,1.0,0.01098901098901099,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,70,0,0,0,91,209,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,75,0,0,0,91,209,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,80,0,0,0,91,209,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,85,0,0,0,91,209,,0.0,1.0,0.0
