ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,75,29,5,0,,0,,0,,0,,0,40,0,20,0,20,0.0,,0.5,0.5,,Wilson 95%,0.0,0.16113012549493322,,,0.35199278797099753,0.6480072120290025,0.35199278797099753,0.6480072120290025,,,20,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,75,29,5,0,,0,,0,,0,,0,40,0,5,0,35,0.0,,0.875,0.125,,Wilson 95%,0.0,0.43449149475208104,,,0.7388757932976187,0.9454058022645873,0.05459419773541284,0.26112420670238146,,,20,15,75.0
5,VITAL_red_AC_ge_5,75,29,5,0,,0,,0,,0,,0,40,0,0,0,40,,,1.0,0.0,,Wilson 95%,,,,,0.9123754607496077,1.0,0.0,0.08762453925039232,,,20,20,100.0
10,naive_AF_gt_1e-5,75,29,5,0,,0,,0,,0,,0,40,0,20,0,20,0.0,,0.5,0.5,,Wilson 95%,0.0,0.16113012549493322,,,0.35199278797099753,0.6480072120290025,0.35199278797099753,0.6480072120290025,,,20,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,75,29,5,0,,0,,0,,0,,0,40,0,5,0,35,0.0,,0.875,0.125,,Wilson 95%,0.0,0.43449149475208104,,,0.7388757932976187,0.9454058022645873,0.05459419773541284,0.26112420670238146,,,20,15,75.0
10,VITAL_red_AC_ge_10,75,29,5,0,,0,,0,,0,,0,40,0,0,0,40,,,1.0,0.0,,Wilson 95%,,,,,0.9123754607496077,1.0,0.0,0.08762453925039232,,,20,20,100.0
20,naive_AF_gt_1e-5,75,29,2,0,,0,,0,,0,,0,40,0,20,0,20,0.0,,0.5,0.5,,Wilson 95%,0.0,0.16113012549493322,,,0.35199278797099753,0.6480072120290025,0.35199278797099753,0.6480072120290025,,,20,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,75,29,2,0,,0,,0,,0,,0,40,0,2,0,38,0.0,,0.95,0.05,,Wilson 95%,0.0,0.6576280471103807,,,0.834958291820748,0.9861796228538989,0.013820377146101098,0.165041708179252,,,20,18,90.0
20,VITAL_red_AC_ge_20,75,29,2,0,,0,,0,,0,,0,40,0,0,0,40,,,1.0,0.0,,Wilson 95%,,,,,0.9123754607496077,1.0,0.0,0.08762453925039232,,,20,20,100.0
50,naive_AF_gt_1e-5,75,29,0,0,,0,,0,,0,,0,40,0,20,0,20,0.0,,0.5,0.5,,Wilson 95%,0.0,0.16113012549493322,,,0.35199278797099753,0.6480072120290025,0.35199278797099753,0.6480072120290025,,,20,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,75,29,0,0,,0,,0,,0,,0,40,0,0,0,40,,,1.0,0.0,,Wilson 95%,,,,,0.9123754607496077,1.0,0.0,0.08762453925039232,,,20,20,100.0
50,VITAL_red_AC_ge_50,75,29,0,0,,0,,0,,0,,0,40,0,0,0,40,,,1.0,0.0,,Wilson 95%,,,,,0.9123754607496077,1.0,0.0,0.08762453925039232,,,20,20,100.0
