score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,6,1,5,0,36,0.16666666666666666,1.0,0.8780487804878049,0.12195121951219512
45,5,1,4,0,37,0.2,1.0,0.9024390243902439,0.0975609756097561
50,4,1,3,0,38,0.25,1.0,0.926829268292683,0.07317073170731707
55,2,1,1,0,40,0.5,1.0,0.975609756097561,0.024390243902439025
60,2,1,1,0,40,0.5,1.0,0.975609756097561,0.024390243902439025
65,1,1,0,0,41,1.0,1.0,1.0,0.0
70,1,1,0,0,41,1.0,1.0,1.0,0.0
75,1,1,0,0,41,1.0,1.0,1.0,0.0
80,1,1,0,0,41,1.0,1.0,1.0,0.0
85,0,0,0,1,41,,0.0,1.0,0.0
90,0,0,0,1,41,,0.0,1.0,0.0
95,0,0,0,1,41,,0.0,1.0,0.0
