target,threshold,tp,fp,fn,tn,tpr_recall,fpr,precision,specificity
strict_PLP_to_BLB_or_VUS,inf,0,0,2,298,0.0,0.0,,1.0
strict_PLP_to_BLB_or_VUS,42.37865810358505,0,1,2,297,0.0,0.003355704697986577,0.0,0.9966442953020134
strict_PLP_to_BLB_or_VUS,40.829836335128846,0,2,2,296,0.0,0.006711409395973154,0.0,0.9932885906040269
strict_PLP_to_BLB_or_VUS,40.71244834192047,0,3,2,295,0.0,0.010067114093959731,0.0,0.9899328859060402
strict_PLP_to_BLB_or_VUS,39.69711088596982,0,4,2,294,0.0,0.013422818791946308,0.0,0.9865771812080537
strict_PLP_to_BLB_or_VUS,36.912625238116064,0,5,2,293,0.0,0.016778523489932886,0.0,0.9832214765100671
strict_PLP_to_BLB_or_VUS,35.64994217340694,0,6,2,292,0.0,0.020134228187919462,0.0,0.9798657718120806
strict_PLP_to_BLB_or_VUS,34.17239257953664,0,7,2,291,0.0,0.02348993288590604,0.0,0.9765100671140939
strict_PLP_to_BLB_or_VUS,3.0,0,9,2,289,0.0,0.030201342281879196,0.0,0.9697986577181208
strict_PLP_to_BLB_or_VUS,0.0,2,298,0,0,1.0,1.0,0.006666666666666667,0.0
strict_PLP_to_BLB_or_VUS,-inf,2,298,0,0,1.0,1.0,0.006666666666666667,0.0
broad_PLP_to_non_PLP_or_missing,inf,0,0,12,288,0.0,0.0,,1.0
broad_PLP_to_non_PLP_or_missing,42.37865810358505,0,1,12,287,0.0,0.003472222222222222,0.0,0.9965277777777778
broad_PLP_to_non_PLP_or_missing,40.829836335128846,0,2,12,286,0.0,0.006944444444444444,0.0,0.9930555555555556
broad_PLP_to_non_PLP_or_missing,40.71244834192047,0,3,12,285,0.0,0.010416666666666666,0.0,0.9895833333333334
broad_PLP_to_non_PLP_or_missing,39.69711088596982,0,4,12,284,0.0,0.013888888888888888,0.0,0.9861111111111112
broad_PLP_to_non_PLP_or_missing,36.912625238116064,0,5,12,283,0.0,0.017361111111111112,0.0,0.9826388888888888
broad_PLP_to_non_PLP_or_missing,35.64994217340694,1,5,11,283,0.08333333333333333,0.017361111111111112,0.16666666666666666,0.9826388888888888
broad_PLP_to_non_PLP_or_missing,34.17239257953664,2,5,10,283,0.16666666666666666,0.017361111111111112,0.2857142857142857,0.9826388888888888
broad_PLP_to_non_PLP_or_missing,3.0,2,7,10,281,0.16666666666666666,0.024305555555555556,0.2222222222222222,0.9756944444444444
broad_PLP_to_non_PLP_or_missing,0.0,12,288,0,0,1.0,1.0,0.04,0.0
broad_PLP_to_non_PLP_or_missing,-inf,12,288,0,0,1.0,1.0,0.04,0.0
expanded_PLP_to_non_PLP_or_review_change,inf,0,0,62,238,0.0,0.0,,1.0
expanded_PLP_to_non_PLP_or_review_change,42.37865810358505,1,0,61,238,0.016129032258064516,0.0,1.0,1.0
expanded_PLP_to_non_PLP_or_review_change,40.829836335128846,1,1,61,237,0.016129032258064516,0.004201680672268907,0.5,0.9957983193277311
expanded_PLP_to_non_PLP_or_review_change,40.71244834192047,1,2,61,236,0.016129032258064516,0.008403361344537815,0.3333333333333333,0.9915966386554622
expanded_PLP_to_non_PLP_or_review_change,39.69711088596982,1,3,61,235,0.016129032258064516,0.012605042016806723,0.25,0.9873949579831933
expanded_PLP_to_non_PLP_or_review_change,36.912625238116064,2,3,60,235,0.03225806451612903,0.012605042016806723,0.4,0.9873949579831933
expanded_PLP_to_non_PLP_or_review_change,35.64994217340694,3,3,59,235,0.04838709677419355,0.012605042016806723,0.5,0.9873949579831933
expanded_PLP_to_non_PLP_or_review_change,34.17239257953664,4,3,58,235,0.06451612903225806,0.012605042016806723,0.5714285714285714,0.9873949579831933
expanded_PLP_to_non_PLP_or_review_change,3.0,5,4,57,234,0.08064516129032258,0.01680672268907563,0.5555555555555556,0.9831932773109243
expanded_PLP_to_non_PLP_or_review_change,0.0,62,238,0,0,1.0,1.0,0.20666666666666667,0.0
expanded_PLP_to_non_PLP_or_review_change,-inf,62,238,0,0,1.0,1.0,0.20666666666666667,0.0
