target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-5,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-4,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-5,0,7,2,291,0.0,0.0,0.9765100671140939,0.02348993288590604,1.0,Wilson 95%,0.0,0.35433884297520657,0.0,0.6576280471103807,0.9523148301383721,0.9885760212220764,0.011423978777923505,0.047685169861627845,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-4,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_5,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_10,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_20,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_50,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
strict_PLP_to_BLB_or_VUS,VITAL_red,0,0,2,298,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9872727947373723,1.0,0.0,0.012727205262627815,0.34237195288961925,1.0
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-5,0,0,12,288,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.2425007574992425,0.9868366949742601,1.0,0.0,0.01316330502573999,0.7574992425007574,1.0
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-4,0,0,12,288,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.2425007574992425,0.9868366949742601,1.0,0.0,0.01316330502573999,0.7574992425007574,1.0
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-5,2,5,10,283,0.2857142857142857,0.16666666666666666,0.9826388888888888,0.017361111111111112,0.8333333333333334,Wilson 95%,0.0822171657090155,0.6410709098517873,0.04696414761482223,0.44803635738467273,0.9600092723721094,0.992562259582211,0.007437740417789013,0.03999072762789056,0.5519636426153274,0.9530358523851776
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-4,0,0,12,288,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.2425007574992425,0.9868366949742601,1.0,0.0,0.01316330502573999,0.7574992425007574,1.0
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_5,0,0,12,288,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.2425007574992425,0.9868366949742601,1.0,0.0,0.01316330502573999,0.7574992425007574,1.0
