scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
all_baseline_plp,strict_PLP_to_BLB_or_VUS,40,3,0,3,2,295,0.0,0.0,0.9899328859060402,0.010067114093959731
all_baseline_plp,strict_PLP_to_BLB_or_VUS,45,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,50,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,55,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,60,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,65,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,70,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,75,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,80,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,85,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,90,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,95,0,0,0,2,298,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,40,3,0,3,12,285,0.0,0.0,0.9895833333333334,0.010416666666666666
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,45,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,50,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,55,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,60,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,65,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,70,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,75,0,0,0,12,288,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,80,0,0,0,12,288,,0.0,1.0,0.0
