ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,23,7,0,0,,0,,0,,0,,0,7,0,4,0,3,0.0,,0.42857142857142855,0.5714285714285714,,Wilson 95%,0.0,0.48990002040399916,,,0.15821692226262685,0.7495457695909742,0.2504542304090258,0.8417830777373732,,,4,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
5,VITAL_red_AC_ge_5,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
10,naive_AF_gt_1e-5,23,7,0,0,,0,,0,,0,,0,7,0,4,0,3,0.0,,0.42857142857142855,0.5714285714285714,,Wilson 95%,0.0,0.48990002040399916,,,0.15821692226262685,0.7495457695909742,0.2504542304090258,0.8417830777373732,,,4,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
10,VITAL_red_AC_ge_10,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
20,naive_AF_gt_1e-5,23,7,0,0,,0,,0,,0,,0,7,0,4,0,3,0.0,,0.42857142857142855,0.5714285714285714,,Wilson 95%,0.0,0.48990002040399916,,,0.15821692226262685,0.7495457695909742,0.2504542304090258,0.8417830777373732,,,4,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
20,VITAL_red_AC_ge_20,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
50,naive_AF_gt_1e-5,23,7,0,0,,0,,0,,0,,0,7,0,4,0,3,0.0,,0.42857142857142855,0.5714285714285714,,Wilson 95%,0.0,0.48990002040399916,,,0.15821692226262685,0.7495457695909742,0.2504542304090258,0.8417830777373732,,,4,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
50,VITAL_red_AC_ge_50,23,7,0,0,,0,,0,,0,,0,7,0,0,0,7,,,1.0,0.0,,Wilson 95%,,,,,0.6456611570247934,1.0,0.0,0.35433884297520657,,,4,4,100.0
