target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-5,0,23,0,277,0.0,,0.9233333333333333,0.07666666666666666,,Wilson 95%,0.0,0.14312112541726274,,,0.8875891334382622,0.9483727624969882,0.05162723750301175,0.11241086656173778,,
strict_PLP_to_BLB_or_VUS,global_AF_gt_1e-4,0,5,0,295,0.0,,0.9833333333333333,0.016666666666666666,,Wilson 95%,0.0,0.43449149475208104,,,0.9615840563782944,0.9928606279572277,0.0071393720427721935,0.038415943621705605,,
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-5,0,84,0,216,0.0,,0.72,0.28,,Wilson 95%,0.0,0.043733265332143306,,,0.6666550937163631,0.7677817970846332,0.23221820291536688,0.3333449062836369,,
strict_PLP_to_BLB_or_VUS,popmax_or_global_AF_gt_1e-4,0,22,0,278,0.0,,0.9266666666666666,0.07333333333333333,,Wilson 95%,1.3877787807814457e-17,0.14865952572596125,,,0.8914679042010732,0.9510763688675256,0.048923631132474436,0.10853209579892667,,
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_5,0,27,0,273,0.0,,0.91,0.09,,Wilson 95%,6.938893903907228e-18,0.12455903714463581,,,0.8722221947968226,0.9374101926050341,0.06258980739496589,0.12777780520317736,,
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_10,0,24,0,276,0.0,,0.92,0.08,,Wilson 95%,0.0,0.13798057582897535,,,0.883725988586447,0.9456535302154552,0.05434646978454494,0.11627401141355304,,
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_20,0,20,0,280,0.0,,0.9333333333333333,0.06666666666666667,,Wilson 95%,0.0,0.16113012549493322,,,0.8992762041322797,0.9564328232030161,0.04356717679698387,0.10072379586772039,,
strict_PLP_to_BLB_or_VUS,AF_gt_1e-5_and_AC_ge_50,0,10,0,290,0.0,,0.9666666666666667,0.03333333333333333,,Wilson 95%,0.0,0.2775401687666166,,,0.9397375485424309,0.9817952501263492,0.018204749873650852,0.0602624514575691,,
strict_PLP_to_BLB_or_VUS,VITAL_red,0,0,0,300,,,1.0,0.0,,Wilson 95%,,,,,0.9873565700022643,0.9999999999999999,0.0,0.012643429997735661,,
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-5,1,22,7,270,0.043478260869565216,0.125,0.9246575342465754,0.07534246575342465,0.875,Wilson 95%,0.0077164669621267445,0.20991586494059142,0.02241690886329617,0.4708948057698615,0.8885647406751107,0.9497216936870616,0.05027830631293851,0.11143525932488932,0.5291051942301386,0.9775830911367038
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-4,0,5,8,287,0.0,0.0,0.9828767123287672,0.017123287671232876,1.0,Wilson 95%,0.0,0.43449149475208104,0.0,0.3244156195108769,0.9605483517202201,0.9926644486432178,0.007335551356782339,0.03945164827977993,0.6755843804891231,1.0
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-5,4,80,4,212,0.047619047619047616,0.5,0.726027397260274,0.273972602739726,0.5,Wilson 95%,0.018671444654442905,0.11613484302702007,0.21521252682444186,0.7847874731755582,0.6721851194575775,0.7739995956061593,0.2260004043938407,0.32781488054242236,0.21521252682444186,0.7847874731755582
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-4,1,21,7,271,0.045454545454545456,0.125,0.928082191780822,0.07191780821917808,0.875,Wilson 95%,0.008069219301147859,0.21798489499518053,0.02241690886329617,0.4708948057698615,0.8925631964869476,0.9524836123458873,0.04751638765411266,0.10743680351305247,0.5291051942301386,0.9775830911367038
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_5,1,26,7,266,0.037037037037037035,0.125,0.910958904109589,0.08904109589041095,0.875,Wilson 95%,0.006567976533097597,0.1828385393415652,0.02241690886329617,0.4708948057698615,0.872732446474957,0.9385124900045646,0.06148750999543546,0.12726755352504307,0.5291051942301386,0.9775830911367038
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_10,1,23,7,269,0.041666666666666664,0.125,0.9212328767123288,0.07876712328767123,0.875,Wilson 95%,0.007393265354805126,0.20242226248842232,0.02241690886329617,0.4708948057698615,0.8845833609962226,0.9469426988952869,0.05305730110471313,0.11541663900377738,0.5291051942301386,0.9775830911367038
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_20,0,20,8,272,0.0,0.0,0.9315068493150684,0.0684931506849315,1.0,Wilson 95%,0.0,0.16113012549493322,0.0,0.3244156195108769,0.8965798085217677,0.9552273747817298,0.044772625218270135,0.10342019147823234,0.6755843804891231,1.0
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_50,0,10,8,282,0.0,0.0,0.9657534246575342,0.03424657534246575,1.0,Wilson 95%,0.0,0.2775401687666166,0.0,0.3244156195108769,0.9381172435415042,0.9812936844686202,0.018706315531379854,0.061882756458495794,0.6755843804891231,1.0
broad_PLP_to_non_PLP_or_missing,VITAL_red,0,0,8,292,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.3244156195108769,0.9870146727167513,1.0,0.0,0.012985327283248874,0.6755843804891231,1.0
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-5,7,16,95,182,0.30434782608695654,0.06862745098039216,0.9191919191919192,0.08080808080808081,0.9313725490196079,Wilson 95%,0.15603828020972454,0.5086612906057261,0.033637792813023634,0.13493108747601207,0.872776956936445,0.9496501344064696,0.05034986559353044,0.1272230430635551,0.865068912523988,0.9663622071869765
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-4,1,4,101,194,0.2,0.00980392156862745,0.9797979797979798,0.020202020202020204,0.9901960784313726,Wilson 95%,0.03622316096978745,0.6244717358814613,0.0017326897927338984,0.05345921962662484,0.9492156201692783,0.9921165928135756,0.007883407186424475,0.05078437983072165,0.9465407803733753,0.9982673102072662
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-5,35,49,67,149,0.4166666666666667,0.3431372549019608,0.7525252525252525,0.2474747474747475,0.6568627450980392,Wilson 95%,0.3171466976499569,0.5234755132387336,0.25820365661589834,0.43945775439829654,0.6879897193237009,0.8074482875093799,0.19255171249062003,0.31201028067629905,0.5605422456017035,0.7417963433841017
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-4,6,16,96,182,0.2727272727272727,0.058823529411764705,0.9191919191919192,0.08080808080808081,0.9411764705882353,Wilson 95%,0.1315058201581444,0.4815212369900198,0.027235268139653053,0.12243745033776982,0.872776956936445,0.9496501344064696,0.05034986559353044,0.1272230430635551,0.8775625496622301,0.972764731860347
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_5,7,20,95,178,0.25925925925925924,0.06862745098039216,0.898989898989899,0.10101010101010101,0.9313725490196079,Wilson 95%,0.13170208422866778,0.4467893040261568,0.033637792813023634,0.13493108747601207,0.849135231789492,0.933656819006776,0.06634318099322406,0.15086476821050798,0.865068912523988,0.9663622071869765
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_10,7,17,95,181,0.2916666666666667,0.06862745098039216,0.9141414141414141,0.08585858585858586,0.9313725490196079,Wilson 95%,0.14914460334164278,0.49168063658709704,0.033637792813023634,0.13493108747601207,0.8668136220857192,0.9457047091205337,0.054295290879466274,0.1331863779142809,0.865068912523988,0.9663622071869765
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_20,5,15,97,183,0.25,0.049019607843137254,0.9242424242424242,0.07575757575757576,0.9509803921568627,Wilson 95%,0.11186005278940309,0.4687050099580636,0.021117285132196968,0.1096592715336131,0.8787802362632534,0.9535556152163226,0.0464443847836774,0.12121976373674653,0.8903407284663869,0.978882714867803
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_50,2,8,100,190,0.2,0.0196078431372549,0.9595959595959596,0.04040404040404041,0.9803921568627451,Wilson 95%,0.056680947980693314,0.5098431532792765,0.005393639125345434,0.06869443210562613,0.9223100912140446,0.9793870812221627,0.020612918777837285,0.07768990878595532,0.9313055678943739,0.9946063608746546
expanded_PLP_to_non_PLP_or_review_change,VITAL_red,0,0,102,198,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.03629574760774591,0.9809672535295005,1.0,0.0,0.01903274647049964,0.9637042523922542,1.0
