scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
all_baseline_plp,strict_PLP_to_BLB_or_VUS,40,54,0,54,0,246,0.0,,0.82,0.18
all_baseline_plp,strict_PLP_to_BLB_or_VUS,45,41,0,41,0,259,0.0,,0.8633333333333333,0.13666666666666666
all_baseline_plp,strict_PLP_to_BLB_or_VUS,50,32,0,32,0,268,0.0,,0.8933333333333333,0.10666666666666667
all_baseline_plp,strict_PLP_to_BLB_or_VUS,55,22,0,22,0,278,0.0,,0.9266666666666666,0.07333333333333333
all_baseline_plp,strict_PLP_to_BLB_or_VUS,60,17,0,17,0,283,0.0,,0.9433333333333334,0.056666666666666664
all_baseline_plp,strict_PLP_to_BLB_or_VUS,65,11,0,11,0,289,0.0,,0.9633333333333334,0.03666666666666667
all_baseline_plp,strict_PLP_to_BLB_or_VUS,70,7,0,7,0,293,0.0,,0.9766666666666667,0.023333333333333334
all_baseline_plp,strict_PLP_to_BLB_or_VUS,75,5,0,5,0,295,0.0,,0.9833333333333333,0.016666666666666666
all_baseline_plp,strict_PLP_to_BLB_or_VUS,80,2,0,2,0,298,0.0,,0.9933333333333333,0.006666666666666667
all_baseline_plp,strict_PLP_to_BLB_or_VUS,85,0,0,0,0,300,,,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,90,0,0,0,0,300,,,1.0,0.0
all_baseline_plp,strict_PLP_to_BLB_or_VUS,95,0,0,0,0,300,,,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,40,54,3,51,5,241,0.05555555555555555,0.375,0.8253424657534246,0.17465753424657535
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,45,41,2,39,6,253,0.04878048780487805,0.25,0.8664383561643836,0.13356164383561644
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,50,32,2,30,6,262,0.0625,0.25,0.8972602739726028,0.10273972602739725
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,55,22,2,20,6,272,0.09090909090909091,0.25,0.9315068493150684,0.0684931506849315
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,60,17,1,16,7,276,0.058823529411764705,0.125,0.9452054794520548,0.0547945205479452
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,65,11,0,11,8,281,0.0,0.0,0.9623287671232876,0.03767123287671233
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,70,7,0,7,8,285,0.0,0.0,0.976027397260274,0.023972602739726026
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,75,5,0,5,8,287,0.0,0.0,0.9828767123287672,0.017123287671232876
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,80,2,0,2,8,290,0.0,0.0,0.9931506849315068,0.00684931506849315
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,85,0,0,0,8,292,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,90,0,0,0,8,292,,0.0,1.0,0.0
all_baseline_plp,broad_PLP_to_non_PLP_or_missing,95,0,0,0,8,292,,0.0,1.0,0.0
all_baseline_plp,expanded_PLP_to_non_PLP_or_review_change,40,54,23,31,79,167,0.42592592592592593,0.22549019607843138,0.8434343434343434,0.15656565656565657
