ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,151,84,27,0,,0,,0,,0,,5,63,5,46,0,17,0.09803921568627451,1.0,0.2698412698412698,0.7301587301587301,0.0,Wilson 95%,0.04260744495307697,0.2097848995445307,0.5655085052479191,1.0,0.17583701687980413,0.39030143582031074,0.6096985641796893,0.8241629831201958,0.0,0.43449149475208104,46,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,151,84,27,0,,0,,0,,0,,5,63,5,22,0,41,0.18518518518518517,1.0,0.6507936507936508,0.3492063492063492,0.0,Wilson 95%,0.0818058657428532,0.36699056505191746,0.5655085052479191,1.0,0.5275123111600184,0.7567418060364581,0.24325819396354187,0.4724876888399816,0.0,0.43449149475208104,46,24,52.17391304347826
5,VITAL_red_AC_ge_5,151,84,27,0,,0,,0,,0,,5,63,0,0,5,63,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.43449149475208104,0.9425268096514744,0.9999999999999999,0.0,0.057473190348525466,0.5655085052479191,1.0,46,46,100.0
10,naive_AF_gt_1e-5,151,84,24,0,,0,,0,,0,,5,63,5,46,0,17,0.09803921568627451,1.0,0.2698412698412698,0.7301587301587301,0.0,Wilson 95%,0.04260744495307697,0.2097848995445307,0.5655085052479191,1.0,0.17583701687980413,0.39030143582031074,0.6096985641796893,0.8241629831201958,0.0,0.43449149475208104,46,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,151,84,24,0,,0,,0,,0,,5,63,5,19,0,44,0.20833333333333334,1.0,0.6984126984126984,0.30158730158730157,0.0,Wilson 95%,0.0924468910478809,0.40470844485235474,0.5655085052479191,1.0,0.5763939457458815,0.7976246295126401,0.20237537048735993,0.4236060542541184,0.0,0.43449149475208104,46,27,58.69565217391305
10,VITAL_red_AC_ge_10,151,84,24,0,,0,,0,,0,,5,63,0,0,5,63,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.43449149475208104,0.9425268096514744,0.9999999999999999,0.0,0.057473190348525466,0.5655085052479191,1.0,46,46,100.0
20,naive_AF_gt_1e-5,151,84,20,0,,0,,0,,0,,2,63,2,46,0,17,0.041666666666666664,1.0,0.2698412698412698,0.7301587301587301,0.0,Wilson 95%,0.011501652078965613,0.13975911147771472,0.34237195288961925,1.0,0.17583701687980413,0.39030143582031074,0.6096985641796893,0.8241629831201958,0.0,0.6576280471103807,46,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,151,84,20,0,,0,,0,,0,,2,63,2,18,0,45,0.1,1.0,0.7142857142857143,0.2857142857142857,0.0,Wilson 95%,0.027865893984153206,0.30103820641179335,0.34237195288961925,1.0,0.5929704958526203,0.8109695654265832,0.18903043457341695,0.4070295041473797,0.0,0.6576280471103807,46,28,60.86956521739131
20,VITAL_red_AC_ge_20,151,84,20,0,,0,,0,,0,,2,63,0,0,2,63,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9425268096514744,0.9999999999999999,0.0,0.057473190348525466,0.34237195288961925,1.0,46,46,100.0
50,naive_AF_gt_1e-5,151,84,10,0,,0,,0,,0,,0,63,0,46,0,17,0.0,,0.2698412698412698,0.7301587301587301,,Wilson 95%,0.0,0.07707617732978073,,,0.17583701687980413,0.39030143582031074,0.6096985641796893,0.8241629831201958,,,46,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,151,84,10,0,,0,,0,,0,,0,63,0,10,0,53,0.0,,0.8412698412698413,0.15873015873015872,,Wilson 95%,0.0,0.2775401687666166,,,0.7318819237681832,0.9114300256764741,0.0885699743235259,0.2681180762318168,,,46,36,78.26086956521739
50,VITAL_red_AC_ge_50,151,84,10,0,,0,,0,,0,,0,63,0,0,0,63,,,1.0,0.0,,Wilson 95%,,,,,0.9425268096514744,0.9999999999999999,0.0,0.057473190348525466,,,46,46,100.0
