score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,35,2,33,0,30,0.05714285714285714,1.0,0.47619047619047616,0.5238095238095238
45,32,2,30,0,33,0.0625,1.0,0.5238095238095238,0.47619047619047616
50,24,1,23,1,40,0.041666666666666664,0.5,0.6349206349206349,0.36507936507936506
55,17,1,16,1,47,0.058823529411764705,0.5,0.746031746031746,0.25396825396825395
60,14,1,13,1,50,0.07142857142857142,0.5,0.7936507936507936,0.20634920634920634
65,10,1,9,1,54,0.1,0.5,0.8571428571428571,0.14285714285714285
70,7,0,7,2,56,0.0,0.0,0.8888888888888888,0.1111111111111111
75,5,0,5,2,58,0.0,0.0,0.9206349206349206,0.07936507936507936
80,2,0,2,2,61,0.0,0.0,0.9682539682539683,0.031746031746031744
85,0,0,0,2,63,,0.0,1.0,0.0
90,0,0,0,2,63,,0.0,1.0,0.0
95,0,0,0,2,63,,0.0,1.0,0.0
