score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,34,2,32,0,29,0.058823529411764705,1.0,0.47540983606557374,0.5245901639344263
45,29,2,27,0,34,0.06896551724137931,1.0,0.5573770491803278,0.4426229508196721
50,23,1,22,1,39,0.043478260869565216,0.5,0.639344262295082,0.36065573770491804
55,13,1,12,1,49,0.07692307692307693,0.5,0.8032786885245902,0.19672131147540983
60,10,1,9,1,52,0.1,0.5,0.8524590163934426,0.14754098360655737
65,5,0,5,2,56,0.0,0.0,0.9180327868852459,0.08196721311475409
70,3,0,3,2,58,0.0,0.0,0.9508196721311475,0.04918032786885246
75,3,0,3,2,58,0.0,0.0,0.9508196721311475,0.04918032786885246
80,0,0,0,2,61,,0.0,1.0,0.0
85,0,0,0,2,61,,0.0,1.0,0.0
90,0,0,0,2,61,,0.0,1.0,0.0
95,0,0,0,2,61,,0.0,1.0,0.0
