gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
HMGCL,7,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
GALT,24,11,5,0,1,0,0.45454545454545453,0.0,0.5416666666666666,intermediate
ACADVL,40,24,12,4,3,1,0.5,0.16666666666666666,0.5,intermediate
SLC22A5,27,10,5,1,4,0,0.5,0.1,0.5,intermediate
GAA,64,19,10,1,5,0,0.5263157894736842,0.05263157894736842,0.475,intermediate
ASL,17,11,7,0,4,0,0.6363636363636364,0.0,0.375,permissive_or_founder_prone
LPL,13,6,4,1,0,0,0.6666666666666666,0.16666666666666666,0.35714285714285715,permissive_or_founder_prone
BTD,23,11,8,2,2,1,0.7272727272727273,0.18181818181818182,0.2916666666666667,permissive_or_founder_prone
ASS1,12,8,6,2,2,0,0.75,0.25,0.2777777777777778,permissive_or_founder_prone
PAH,64,28,21,7,3,1,0.75,0.25,0.25862068965517243,permissive_or_founder_prone
MMACHC,9,2,2,2,0,0,1.0,1.0,0.16666666666666666,permissive_or_founder_prone
