ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,132,80,34,0,,0,,0,,0,,2,98,2,59,0,39,0.03278688524590164,1.0,0.3979591836734694,0.6020408163265306,0.0,Wilson 95%,0.009037700815687874,0.11189700776645692,0.34237195288961925,1.0,0.3066643027632052,0.49695229399096996,0.50304770600903,0.6933356972367949,0.0,0.6576280471103807,59,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,132,80,34,0,,0,,0,,0,,2,98,2,32,0,66,0.058823529411764705,1.0,0.673469387755102,0.32653061224489793,0.0,Wilson 95%,0.016282313063842452,0.1909393688946371,0.34237195288961925,1.0,0.5756129567648199,0.7582388287530822,0.2417611712469177,0.42438704323518,0.0,0.6576280471103807,59,27,45.76271186440678
5,VITAL_red_AC_ge_5,132,80,34,0,,0,,0,,0,,2,98,0,0,2,98,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9622786759045421,1.0,0.0,0.037721324095458045,0.34237195288961925,1.0,59,59,100.0
10,naive_AF_gt_1e-5,132,80,29,0,,0,,0,,0,,2,98,2,59,0,39,0.03278688524590164,1.0,0.3979591836734694,0.6020408163265306,0.0,Wilson 95%,0.009037700815687874,0.11189700776645692,0.34237195288961925,1.0,0.3066643027632052,0.49695229399096996,0.50304770600903,0.6933356972367949,0.0,0.6576280471103807,59,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,132,80,29,0,,0,,0,,0,,2,98,2,27,0,71,0.06896551724137931,1.0,0.7244897959183674,0.2755102040816326,0.0,Wilson 95%,0.019120864097994433,0.21964947595851925,0.34237195288961925,1.0,0.6288377565601042,0.8032057305807105,0.19679426941928943,0.3711622434398958,0.0,0.6576280471103807,59,32,54.23728813559322
10,VITAL_red_AC_ge_10,132,80,29,0,,0,,0,,0,,2,98,0,0,2,98,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9622786759045421,1.0,0.0,0.037721324095458045,0.34237195288961925,1.0,59,59,100.0
20,naive_AF_gt_1e-5,132,80,20,0,,0,,0,,0,,0,98,0,59,0,39,0.0,,0.3979591836734694,0.6020408163265306,,Wilson 95%,0.0,0.061131479784092065,,,0.3066643027632052,0.49695229399096996,0.50304770600903,0.6933356972367949,,,59,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,132,80,20,0,,0,,0,,0,,0,98,0,20,0,78,0.0,,0.7959183673469388,0.20408163265306123,,Wilson 95%,0.0,0.16113012549493322,,,0.7056878495916333,0.8638240198212589,0.1361759801787412,0.29431215040836667,,,59,39,66.10169491525424
20,VITAL_red_AC_ge_20,132,80,20,0,,0,,0,,0,,0,98,0,0,0,98,,,1.0,0.0,,Wilson 95%,,,,,0.9622786759045421,1.0,0.0,0.037721324095458045,,,59,59,100.0
50,naive_AF_gt_1e-5,132,80,9,0,,0,,0,,0,,0,98,0,59,0,39,0.0,,0.3979591836734694,0.6020408163265306,,Wilson 95%,0.0,0.061131479784092065,,,0.3066643027632052,0.49695229399096996,0.50304770600903,0.6933356972367949,,,59,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,132,80,9,0,,0,,0,,0,,0,98,0,9,0,89,0.0,,0.9081632653061225,0.09183673469387756,,Wilson 95%,0.0,0.2991527535509594,,,0.8346022720739837,0.950931340909316,0.04906865909068409,0.16539772792601637,,,59,50,84.7457627118644
50,VITAL_red_AC_ge_50,132,80,9,0,,0,,0,,0,,0,98,0,0,0,98,,,1.0,0.0,,Wilson 95%,,,,,0.9622786759045421,1.0,0.0,0.037721324095458045,,,59,59,100.0
