score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,34,0,34,0,64,0.0,,0.6530612244897959,0.3469387755102041
45,29,0,29,0,69,0.0,,0.7040816326530612,0.29591836734693877
50,23,0,23,0,75,0.0,,0.7653061224489796,0.23469387755102042
55,20,0,20,0,78,0.0,,0.7959183673469388,0.20408163265306123
60,10,0,10,0,88,0.0,,0.8979591836734694,0.10204081632653061
65,5,0,5,0,93,0.0,,0.9489795918367347,0.05102040816326531
70,4,0,4,0,94,0.0,,0.9591836734693877,0.04081632653061224
75,2,0,2,0,96,0.0,,0.9795918367346939,0.02040816326530612
80,1,0,1,0,97,0.0,,0.9897959183673469,0.01020408163265306
85,0,0,0,0,98,,,1.0,0.0
90,0,0,0,0,98,,,1.0,0.0
95,0,0,0,0,98,,,1.0,0.0
