ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,74,41,9,0,,0,,0,,0,,2,39,2,26,0,13,0.07142857142857142,1.0,0.3333333333333333,0.6666666666666666,0.0,Wilson 95%,0.019811647447770794,0.2264573842591786,0.34237195288961925,1.0,0.20632766106915157,0.4902289567975947,0.5097710432024052,0.7936723389308484,0.0,0.6576280471103807,26,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,74,41,9,0,,0,,0,,0,,2,39,2,7,0,32,0.2222222222222222,1.0,0.8205128205128205,0.1794871794871795,0.0,Wilson 95%,0.06322376231222723,0.5474166563271946,0.34237195288961925,1.0,0.6733164837555724,0.9102284818853,0.08977151811469994,0.3266835162444276,0.0,0.6576280471103807,26,19,73.07692307692307
5,VITAL_red_AC_ge_5,74,41,9,0,,0,,0,,0,,2,39,0,0,2,39,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9103301463997611,1.0,0.0,0.08966985360023902,0.34237195288961925,1.0,26,26,100.0
10,naive_AF_gt_1e-5,74,41,9,0,,0,,0,,0,,2,39,2,26,0,13,0.07142857142857142,1.0,0.3333333333333333,0.6666666666666666,0.0,Wilson 95%,0.019811647447770794,0.2264573842591786,0.34237195288961925,1.0,0.20632766106915157,0.4902289567975947,0.5097710432024052,0.7936723389308484,0.0,0.6576280471103807,26,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,74,41,9,0,,0,,0,,0,,2,39,2,7,0,32,0.2222222222222222,1.0,0.8205128205128205,0.1794871794871795,0.0,Wilson 95%,0.06322376231222723,0.5474166563271946,0.34237195288961925,1.0,0.6733164837555724,0.9102284818853,0.08977151811469994,0.3266835162444276,0.0,0.6576280471103807,26,19,73.07692307692307
10,VITAL_red_AC_ge_10,74,41,9,0,,0,,0,,0,,2,39,0,0,2,39,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.6576280471103807,0.9103301463997611,1.0,0.0,0.08966985360023902,0.34237195288961925,1.0,26,26,100.0
20,naive_AF_gt_1e-5,74,41,5,0,,0,,0,,0,,1,39,1,26,0,13,0.037037037037037035,1.0,0.3333333333333333,0.6666666666666666,0.0,Wilson 95%,0.006567976533097597,0.1828385393415652,0.20654329147389294,1.0,0.20632766106915157,0.4902289567975947,0.5097710432024052,0.7936723389308484,0.0,0.7934567085261071,26,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,74,41,5,0,,0,,0,,0,,1,39,1,4,0,35,0.2,1.0,0.8974358974358975,0.10256410256410256,0.0,Wilson 95%,0.03622316096978745,0.6244717358814613,0.20654329147389294,1.0,0.7642084129775517,0.9593873444171301,0.04061265558286986,0.2357915870224483,0.0,0.7934567085261071,26,22,84.61538461538461
20,VITAL_red_AC_ge_20,74,41,5,0,,0,,0,,0,,1,39,0,0,1,39,,0.0,1.0,0.0,1.0,Wilson 95%,,,0.0,0.7934567085261071,0.9103301463997611,1.0,0.0,0.08966985360023902,0.20654329147389294,1.0,26,26,100.0
50,naive_AF_gt_1e-5,74,41,2,0,,0,,0,,0,,0,39,0,26,0,13,0.0,,0.3333333333333333,0.6666666666666666,,Wilson 95%,0.0,0.12873304380462175,,,0.20632766106915157,0.4902289567975947,0.5097710432024052,0.7936723389308484,,,26,0,0.0
50,AF_gt_1e-5_and_AC_ge_50,74,41,2,0,,0,,0,,0,,0,39,0,2,0,37,0.0,,0.9487179487179487,0.05128205128205128,,Wilson 95%,0.0,0.6576280471103807,,,0.8311406095436208,0.9858223423536004,0.014177657646399527,0.1688593904563791,,,26,24,92.3076923076923
50,VITAL_red_AC_ge_50,74,41,2,0,,0,,0,,0,,0,39,0,0,0,39,,,1.0,0.0,,Wilson 95%,,,,,0.9103301463997611,1.0,0.0,0.08966985360023902,,,26,26,100.0
