score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,13,1,12,0,27,0.07692307692307693,1.0,0.6923076923076923,0.3076923076923077
45,9,1,8,0,31,0.1111111111111111,1.0,0.7948717948717948,0.20512820512820512
50,8,1,7,0,32,0.125,1.0,0.8205128205128205,0.1794871794871795
55,3,0,3,1,36,0.0,0.0,0.9230769230769231,0.07692307692307693
60,2,0,2,1,37,0.0,0.0,0.9487179487179487,0.05128205128205128
65,2,0,2,1,37,0.0,0.0,0.9487179487179487,0.05128205128205128
70,2,0,2,1,37,0.0,0.0,0.9487179487179487,0.05128205128205128
75,0,0,0,1,39,,0.0,1.0,0.0
80,0,0,0,1,39,,0.0,1.0,0.0
85,0,0,0,1,39,,0.0,1.0,0.0
90,0,0,0,1,39,,0.0,1.0,0.0
95,0,0,0,1,39,,0.0,1.0,0.0
