target,threshold,tp,fp,fn,tn,tpr_recall,fpr,precision,specificity
strict_PLP_to_BLB_or_VUS,inf,0,0,4,496,0.0,0.0,,1.0
strict_PLP_to_BLB_or_VUS,90.08747429302088,0,1,4,495,0.0,0.0020161290322580645,0.0,0.9979838709677419
strict_PLP_to_BLB_or_VUS,88.57601146792932,0,2,4,494,0.0,0.004032258064516129,0.0,0.9959677419354839
strict_PLP_to_BLB_or_VUS,83.12821094565982,0,3,4,493,0.0,0.006048387096774193,0.0,0.9939516129032258
strict_PLP_to_BLB_or_VUS,77.68729228283165,0,4,4,492,0.0,0.008064516129032258,0.0,0.9919354838709677
strict_PLP_to_BLB_or_VUS,72.44312838092227,0,5,4,491,0.0,0.010080645161290322,0.0,0.9899193548387096
strict_PLP_to_BLB_or_VUS,72.3010063498617,0,6,4,490,0.0,0.012096774193548387,0.0,0.9879032258064516
strict_PLP_to_BLB_or_VUS,71.67144925653409,0,7,4,489,0.0,0.014112903225806451,0.0,0.9858870967741935
strict_PLP_to_BLB_or_VUS,71.40346301419866,0,8,4,488,0.0,0.016129032258064516,0.0,0.9838709677419355
strict_PLP_to_BLB_or_VUS,67.27867571714661,0,9,4,487,0.0,0.018145161290322582,0.0,0.9818548387096774
strict_PLP_to_BLB_or_VUS,67.25679690211163,0,10,4,486,0.0,0.020161290322580645,0.0,0.9798387096774194
strict_PLP_to_BLB_or_VUS,64.37472405400322,0,11,4,485,0.0,0.02217741935483871,0.0,0.9778225806451613
strict_PLP_to_BLB_or_VUS,63.2750066673914,0,12,4,484,0.0,0.024193548387096774,0.0,0.9758064516129032
strict_PLP_to_BLB_or_VUS,62.02730097244374,0,13,4,483,0.0,0.02620967741935484,0.0,0.9737903225806451
strict_PLP_to_BLB_or_VUS,61.63820175891675,0,14,4,482,0.0,0.028225806451612902,0.0,0.9717741935483871
strict_PLP_to_BLB_or_VUS,59.55935858383462,0,15,4,481,0.0,0.03024193548387097,0.0,0.969758064516129
strict_PLP_to_BLB_or_VUS,58.69487474791895,1,15,3,481,0.25,0.03024193548387097,0.0625,0.969758064516129
strict_PLP_to_BLB_or_VUS,55.52297789088375,1,16,3,480,0.25,0.03225806451612903,0.058823529411764705,0.967741935483871
strict_PLP_to_BLB_or_VUS,54.83383921030111,1,17,3,479,0.25,0.034274193548387094,0.05555555555555555,0.9657258064516129
strict_PLP_to_BLB_or_VUS,53.894771345537066,1,18,3,478,0.25,0.036290322580645164,0.05263157894736842,0.9637096774193549
strict_PLP_to_BLB_or_VUS,53.59175681818448,1,19,3,477,0.25,0.038306451612903226,0.05,0.9616935483870968
strict_PLP_to_BLB_or_VUS,53.26445460369677,1,20,3,476,0.25,0.04032258064516129,0.047619047619047616,0.9596774193548387
strict_PLP_to_BLB_or_VUS,52.734477084291946,1,21,3,475,0.25,0.04233870967741935,0.045454545454545456,0.9576612903225806
strict_PLP_to_BLB_or_VUS,52.2775654739293,1,22,3,474,0.25,0.04435483870967742,0.043478260869565216,0.9556451612903226
strict_PLP_to_BLB_or_VUS,52.09958229735724,1,23,3,473,0.25,0.046370967741935484,0.041666666666666664,0.9536290322580645
strict_PLP_to_BLB_or_VUS,51.89163480605298,1,24,3,472,0.25,0.04838709677419355,0.04,0.9516129032258065
strict_PLP_to_BLB_or_VUS,51.44195524580701,1,25,3,471,0.25,0.05040322580645161,0.038461538461538464,0.9495967741935484
strict_PLP_to_BLB_or_VUS,50.70922858901626,1,26,3,470,0.25,0.05241935483870968,0.037037037037037035,0.9475806451612904
strict_PLP_to_BLB_or_VUS,50.44347192762673,1,27,3,469,0.25,0.05443548387096774,0.03571428571428571,0.9455645161290323
strict_PLP_to_BLB_or_VUS,50.30849875934517,1,28,3,468,0.25,0.056451612903225805,0.034482758620689655,0.9435483870967742
strict_PLP_to_BLB_or_VUS,50.0792189149565,1,29,3,467,0.25,0.05846774193548387,0.03333333333333333,0.9415322580645161
strict_PLP_to_BLB_or_VUS,49.943407968811975,1,30,3,466,0.25,0.06048387096774194,0.03225806451612903,0.9395161290322581
strict_PLP_to_BLB_or_VUS,49.48928160529479,1,31,3,465,0.25,0.0625,0.03125,0.9375
strict_PLP_to_BLB_or_VUS,49.24445206101655,1,32,3,464,0.25,0.06451612903225806,0.030303030303030304,0.9354838709677419
strict_PLP_to_BLB_or_VUS,49.20368039345692,1,33,3,463,0.25,0.06653225806451613,0.029411764705882353,0.9334677419354839
strict_PLP_to_BLB_or_VUS,48.44711078129562,1,34,3,462,0.25,0.06854838709677419,0.02857142857142857,0.9314516129032258
strict_PLP_to_BLB_or_VUS,48.26607857973461,1,35,3,461,0.25,0.07056451612903226,0.027777777777777776,0.9294354838709677
strict_PLP_to_BLB_or_VUS,46.534460837646,1,36,3,460,0.25,0.07258064516129033,0.02702702702702703,0.9274193548387096
strict_PLP_to_BLB_or_VUS,46.25966503719518,1,37,3,459,0.25,0.07459677419354839,0.02631578947368421,0.9254032258064516
strict_PLP_to_BLB_or_VUS,45.813423555812015,1,38,3,458,0.25,0.07661290322580645,0.02564102564102564,0.9233870967741935
strict_PLP_to_BLB_or_VUS,45.55229523303302,1,39,3,457,0.25,0.07862903225806452,0.025,0.9213709677419355
strict_PLP_to_BLB_or_VUS,45.42589032603036,1,40,3,456,0.25,0.08064516129032258,0.024390243902439025,0.9193548387096774
strict_PLP_to_BLB_or_VUS,44.22905706499135,1,41,3,455,0.25,0.08266129032258064,0.023809523809523808,0.9173387096774194
strict_PLP_to_BLB_or_VUS,44.22069677915837,1,42,3,454,0.25,0.0846774193548387,0.023255813953488372,0.9153225806451613
strict_PLP_to_BLB_or_VUS,43.89707528184639,1,43,3,453,0.25,0.08669354838709678,0.022727272727272728,0.9133064516129032
strict_PLP_to_BLB_or_VUS,43.60946077416319,1,44,3,452,0.25,0.08870967741935484,0.022222222222222223,0.9112903225806451
strict_PLP_to_BLB_or_VUS,43.53062103858424,2,44,2,452,0.5,0.08870967741935484,0.043478260869565216,0.9112903225806451
strict_PLP_to_BLB_or_VUS,43.15460103358469,2,45,2,451,0.5,0.0907258064516129,0.0425531914893617,0.9092741935483871
strict_PLP_to_BLB_or_VUS,42.78536157230157,2,46,2,450,0.5,0.09274193548387097,0.041666666666666664,0.907258064516129
strict_PLP_to_BLB_or_VUS,42.4785108530383,2,47,2,449,0.5,0.09475806451612903,0.04081632653061224,0.905241935483871
strict_PLP_to_BLB_or_VUS,42.43749893714508,2,48,2,448,0.5,0.0967741935483871,0.04,0.9032258064516129
strict_PLP_to_BLB_or_VUS,41.53346783401685,2,49,2,447,0.5,0.09879032258064516,0.0392156862745098,0.9012096774193549
strict_PLP_to_BLB_or_VUS,40.19897158906332,2,50,2,446,0.5,0.10080645161290322,0.038461538461538464,0.8991935483870968
strict_PLP_to_BLB_or_VUS,38.77187451223533,2,51,2,445,0.5,0.1028225806451613,0.03773584905660377,0.8971774193548387
strict_PLP_to_BLB_or_VUS,38.56284365532822,2,52,2,444,0.5,0.10483870967741936,0.037037037037037035,0.8951612903225806
strict_PLP_to_BLB_or_VUS,38.362461123047,2,53,2,443,0.5,0.10685483870967742,0.03636363636363636,0.8931451612903226
strict_PLP_to_BLB_or_VUS,38.25155597727316,2,54,2,442,0.5,0.10887096774193548,0.03571428571428571,0.8911290322580645
strict_PLP_to_BLB_or_VUS,37.6736906894638,2,55,2,441,0.5,0.11088709677419355,0.03508771929824561,0.8891129032258065
strict_PLP_to_BLB_or_VUS,37.17951280581187,2,56,2,440,0.5,0.11290322580645161,0.034482758620689655,0.8870967741935484
strict_PLP_to_BLB_or_VUS,37.17901733418505,2,57,2,439,0.5,0.11491935483870967,0.03389830508474576,0.8850806451612904
strict_PLP_to_BLB_or_VUS,37.01137857765309,3,57,1,439,0.75,0.11491935483870967,0.05,0.8850806451612904
strict_PLP_to_BLB_or_VUS,36.12013483252993,3,58,1,438,0.75,0.11693548387096774,0.04918032786885246,0.8830645161290323
strict_PLP_to_BLB_or_VUS,35.6738689430903,3,59,1,437,0.75,0.11895161290322581,0.04838709677419355,0.8810483870967742
strict_PLP_to_BLB_or_VUS,35.61891909153775,3,60,1,436,0.75,0.12096774193548387,0.047619047619047616,0.8790322580645161
strict_PLP_to_BLB_or_VUS,35.59233351992256,3,61,1,435,0.75,0.12298387096774194,0.046875,0.8770161290322581
strict_PLP_to_BLB_or_VUS,34.772993405148824,3,62,1,434,0.75,0.125,0.046153846153846156,0.875
strict_PLP_to_BLB_or_VUS,34.75814516099379,3,63,1,433,0.75,0.12701612903225806,0.045454545454545456,0.8729838709677419
strict_PLP_to_BLB_or_VUS,33.68336668444904,3,64,1,432,0.75,0.12903225806451613,0.04477611940298507,0.8709677419354839
strict_PLP_to_BLB_or_VUS,33.592239823755364,3,65,1,431,0.75,0.1310483870967742,0.04411764705882353,0.8689516129032258
strict_PLP_to_BLB_or_VUS,33.39198360973199,3,66,1,430,0.75,0.13306451612903225,0.043478260869565216,0.8669354838709677
strict_PLP_to_BLB_or_VUS,32.78757152087072,3,67,1,429,0.75,0.1350806451612903,0.04285714285714286,0.8649193548387096
strict_PLP_to_BLB_or_VUS,32.35915420562954,3,68,1,428,0.75,0.13709677419354838,0.04225352112676056,0.8629032258064516
strict_PLP_to_BLB_or_VUS,32.10081302505253,3,69,1,427,0.75,0.13911290322580644,0.041666666666666664,0.8608870967741935
strict_PLP_to_BLB_or_VUS,31.74648971283688,3,70,1,426,0.75,0.14112903225806453,0.0410958904109589,0.8588709677419355
strict_PLP_to_BLB_or_VUS,30.98000491410092,3,71,1,425,0.75,0.1431451612903226,0.04054054054054054,0.8568548387096774
strict_PLP_to_BLB_or_VUS,30.678857387325035,3,72,1,424,0.75,0.14516129032258066,0.04,0.8548387096774194
strict_PLP_to_BLB_or_VUS,29.365637107480048,3,73,1,423,0.75,0.14717741935483872,0.039473684210526314,0.8528225806451613
strict_PLP_to_BLB_or_VUS,29.34321857317613,3,74,1,422,0.75,0.14919354838709678,0.03896103896103896,0.8508064516129032
strict_PLP_to_BLB_or_VUS,29.334408271541527,3,75,1,421,0.75,0.15120967741935484,0.038461538461538464,0.8487903225806451
strict_PLP_to_BLB_or_VUS,28.829512712793743,3,76,1,420,0.75,0.1532258064516129,0.0379746835443038,0.8467741935483871
strict_PLP_to_BLB_or_VUS,28.55768845954869,3,77,1,419,0.75,0.15524193548387097,0.0375,0.844758064516129
strict_PLP_to_BLB_or_VUS,28.08501920005287,3,78,1,418,0.75,0.15725806451612903,0.037037037037037035,0.842741935483871
strict_PLP_to_BLB_or_VUS,26.763421483362887,3,79,1,417,0.75,0.1592741935483871,0.036585365853658534,0.8407258064516129
strict_PLP_to_BLB_or_VUS,24.17020515500223,3,80,1,416,0.75,0.16129032258064516,0.03614457831325301,0.8387096774193549
strict_PLP_to_BLB_or_VUS,23.501478467723643,3,81,1,415,0.75,0.16330645161290322,0.03571428571428571,0.8366935483870968
strict_PLP_to_BLB_or_VUS,21.33624583052212,3,82,1,414,0.75,0.16532258064516128,0.03529411764705882,0.8346774193548387
strict_PLP_to_BLB_or_VUS,21.01108710789352,3,83,1,413,0.75,0.16733870967741934,0.03488372093023256,0.8326612903225806
strict_PLP_to_BLB_or_VUS,6.0,3,89,1,407,0.75,0.17943548387096775,0.03260869565217391,0.8205645161290323
strict_PLP_to_BLB_or_VUS,3.0,3,100,1,396,0.75,0.20161290322580644,0.02912621359223301,0.7983870967741935
strict_PLP_to_BLB_or_VUS,2.0,3,102,1,394,0.75,0.2056451612903226,0.02857142857142857,0.7943548387096774
strict_PLP_to_BLB_or_VUS,0.0,4,496,0,0,1.0,1.0,0.008,0.0
strict_PLP_to_BLB_or_VUS,-inf,4,496,0,0,1.0,1.0,0.008,0.0
broad_PLP_to_non_PLP_or_missing,inf,0,0,19,481,0.0,0.0,,1.0
broad_PLP_to_non_PLP_or_missing,90.08747429302088,0,1,19,480,0.0,0.002079002079002079,0.0,0.997920997920998
broad_PLP_to_non_PLP_or_missing,88.57601146792932,1,1,18,480,0.05263157894736842,0.002079002079002079,0.5,0.997920997920998
broad_PLP_to_non_PLP_or_missing,83.12821094565982,1,2,18,479,0.05263157894736842,0.004158004158004158,0.3333333333333333,0.9958419958419958
broad_PLP_to_non_PLP_or_missing,77.68729228283165,1,3,18,478,0.05263157894736842,0.006237006237006237,0.25,0.9937629937629938
broad_PLP_to_non_PLP_or_missing,72.44312838092227,1,4,18,477,0.05263157894736842,0.008316008316008316,0.2,0.9916839916839917
broad_PLP_to_non_PLP_or_missing,72.3010063498617,1,5,18,476,0.05263157894736842,0.010395010395010396,0.16666666666666666,0.9896049896049897
broad_PLP_to_non_PLP_or_missing,71.67144925653409,1,6,18,475,0.05263157894736842,0.012474012474012475,0.14285714285714285,0.9875259875259875
broad_PLP_to_non_PLP_or_missing,71.40346301419866,1,7,18,474,0.05263157894736842,0.014553014553014554,0.125,0.9854469854469855
broad_PLP_to_non_PLP_or_missing,67.27867571714661,1,8,18,473,0.05263157894736842,0.016632016632016633,0.1111111111111111,0.9833679833679834
broad_PLP_to_non_PLP_or_missing,67.25679690211163,1,9,18,472,0.05263157894736842,0.018711018711018712,0.1,0.9812889812889813
broad_PLP_to_non_PLP_or_missing,64.37472405400322,1,10,18,471,0.05263157894736842,0.02079002079002079,0.09090909090909091,0.9792099792099792
broad_PLP_to_non_PLP_or_missing,63.2750066673914,2,10,17,471,0.10526315789473684,0.02079002079002079,0.16666666666666666,0.9792099792099792
broad_PLP_to_non_PLP_or_missing,62.02730097244374,2,11,17,470,0.10526315789473684,0.02286902286902287,0.15384615384615385,0.9771309771309772
broad_PLP_to_non_PLP_or_missing,61.63820175891675,2,12,17,469,0.10526315789473684,0.02494802494802495,0.14285714285714285,0.975051975051975
broad_PLP_to_non_PLP_or_missing,59.55935858383462,2,13,17,468,0.10526315789473684,0.02702702702702703,0.13333333333333333,0.972972972972973
broad_PLP_to_non_PLP_or_missing,58.69487474791895,3,13,16,468,0.15789473684210525,0.02702702702702703,0.1875,0.972972972972973
broad_PLP_to_non_PLP_or_missing,55.52297789088375,4,13,15,468,0.21052631578947367,0.02702702702702703,0.23529411764705882,0.972972972972973
broad_PLP_to_non_PLP_or_missing,54.83383921030111,4,14,15,467,0.21052631578947367,0.029106029106029108,0.2222222222222222,0.9708939708939709
broad_PLP_to_non_PLP_or_missing,53.894771345537066,4,15,15,466,0.21052631578947367,0.031185031185031187,0.21052631578947367,0.9688149688149689
broad_PLP_to_non_PLP_or_missing,53.59175681818448,5,15,14,466,0.2631578947368421,0.031185031185031187,0.25,0.9688149688149689
broad_PLP_to_non_PLP_or_missing,53.26445460369677,5,16,14,465,0.2631578947368421,0.033264033264033266,0.23809523809523808,0.9667359667359667
broad_PLP_to_non_PLP_or_missing,52.734477084291946,5,17,14,464,0.2631578947368421,0.035343035343035345,0.22727272727272727,0.9646569646569647
broad_PLP_to_non_PLP_or_missing,52.2775654739293,5,18,14,463,0.2631578947368421,0.037422037422037424,0.21739130434782608,0.9625779625779626
broad_PLP_to_non_PLP_or_missing,52.09958229735724,5,19,14,462,0.2631578947368421,0.0395010395010395,0.20833333333333334,0.9604989604989606
broad_PLP_to_non_PLP_or_missing,51.89163480605298,5,20,14,461,0.2631578947368421,0.04158004158004158,0.2,0.9584199584199584
broad_PLP_to_non_PLP_or_missing,51.44195524580701,5,21,14,460,0.2631578947368421,0.04365904365904366,0.19230769230769232,0.9563409563409564
broad_PLP_to_non_PLP_or_missing,50.70922858901626,5,22,14,459,0.2631578947368421,0.04573804573804574,0.18518518518518517,0.9542619542619543
broad_PLP_to_non_PLP_or_missing,50.44347192762673,5,23,14,458,0.2631578947368421,0.04781704781704782,0.17857142857142858,0.9521829521829522
broad_PLP_to_non_PLP_or_missing,50.30849875934517,5,24,14,457,0.2631578947368421,0.0498960498960499,0.1724137931034483,0.9501039501039501
broad_PLP_to_non_PLP_or_missing,50.0792189149565,5,25,14,456,0.2631578947368421,0.05197505197505198,0.16666666666666666,0.9480249480249481
broad_PLP_to_non_PLP_or_missing,49.943407968811975,5,26,14,455,0.2631578947368421,0.05405405405405406,0.16129032258064516,0.9459459459459459
broad_PLP_to_non_PLP_or_missing,49.48928160529479,5,27,14,454,0.2631578947368421,0.056133056133056136,0.15625,0.9438669438669439
broad_PLP_to_non_PLP_or_missing,49.24445206101655,5,28,14,453,0.2631578947368421,0.058212058212058215,0.15151515151515152,0.9417879417879418
broad_PLP_to_non_PLP_or_missing,49.20368039345692,5,29,14,452,0.2631578947368421,0.060291060291060294,0.14705882352941177,0.9397089397089398
broad_PLP_to_non_PLP_or_missing,48.44711078129562,5,30,14,451,0.2631578947368421,0.062370062370062374,0.14285714285714285,0.9376299376299376
broad_PLP_to_non_PLP_or_missing,48.26607857973461,5,31,14,450,0.2631578947368421,0.06444906444906445,0.1388888888888889,0.9355509355509356
broad_PLP_to_non_PLP_or_missing,46.534460837646,5,32,14,449,0.2631578947368421,0.06652806652806653,0.13513513513513514,0.9334719334719335
broad_PLP_to_non_PLP_or_missing,46.25966503719518,5,33,14,448,0.2631578947368421,0.06860706860706861,0.13157894736842105,0.9313929313929314
broad_PLP_to_non_PLP_or_missing,45.813423555812015,5,34,14,447,0.2631578947368421,0.07068607068607069,0.1282051282051282,0.9293139293139293
broad_PLP_to_non_PLP_or_missing,45.55229523303302,5,35,14,446,0.2631578947368421,0.07276507276507277,0.125,0.9272349272349273
broad_PLP_to_non_PLP_or_missing,45.42589032603036,5,36,14,445,0.2631578947368421,0.07484407484407485,0.12195121951219512,0.9251559251559252
broad_PLP_to_non_PLP_or_missing,44.22905706499135,5,37,14,444,0.2631578947368421,0.07692307692307693,0.11904761904761904,0.9230769230769231
broad_PLP_to_non_PLP_or_missing,44.22069677915837,5,38,14,443,0.2631578947368421,0.079002079002079,0.11627906976744186,0.920997920997921
broad_PLP_to_non_PLP_or_missing,43.89707528184639,5,39,14,442,0.2631578947368421,0.08108108108108109,0.11363636363636363,0.918918918918919
broad_PLP_to_non_PLP_or_missing,43.60946077416319,5,40,14,441,0.2631578947368421,0.08316008316008316,0.1111111111111111,0.9168399168399168
broad_PLP_to_non_PLP_or_missing,43.53062103858424,6,40,13,441,0.3157894736842105,0.08316008316008316,0.13043478260869565,0.9168399168399168
broad_PLP_to_non_PLP_or_missing,43.15460103358469,6,41,13,440,0.3157894736842105,0.08523908523908524,0.1276595744680851,0.9147609147609148
broad_PLP_to_non_PLP_or_missing,42.78536157230157,6,42,13,439,0.3157894736842105,0.08731808731808732,0.125,0.9126819126819127
broad_PLP_to_non_PLP_or_missing,42.4785108530383,6,43,13,438,0.3157894736842105,0.0893970893970894,0.12244897959183673,0.9106029106029107
broad_PLP_to_non_PLP_or_missing,42.43749893714508,6,44,13,437,0.3157894736842105,0.09147609147609148,0.12,0.9085239085239085
broad_PLP_to_non_PLP_or_missing,41.53346783401685,6,45,13,436,0.3157894736842105,0.09355509355509356,0.11764705882352941,0.9064449064449065
broad_PLP_to_non_PLP_or_missing,40.19897158906332,6,46,13,435,0.3157894736842105,0.09563409563409564,0.11538461538461539,0.9043659043659044
broad_PLP_to_non_PLP_or_missing,38.77187451223533,6,47,13,434,0.3157894736842105,0.09771309771309772,0.11320754716981132,0.9022869022869023
broad_PLP_to_non_PLP_or_missing,38.56284365532822,6,48,13,433,0.3157894736842105,0.0997920997920998,0.1111111111111111,0.9002079002079002
broad_PLP_to_non_PLP_or_missing,38.362461123047,6,49,13,432,0.3157894736842105,0.10187110187110188,0.10909090909090909,0.8981288981288982
broad_PLP_to_non_PLP_or_missing,38.25155597727316,6,50,13,431,0.3157894736842105,0.10395010395010396,0.10714285714285714,0.896049896049896
broad_PLP_to_non_PLP_or_missing,37.6736906894638,6,51,13,430,0.3157894736842105,0.10602910602910603,0.10526315789473684,0.893970893970894
broad_PLP_to_non_PLP_or_missing,37.17951280581187,6,52,13,429,0.3157894736842105,0.10810810810810811,0.10344827586206896,0.8918918918918919
broad_PLP_to_non_PLP_or_missing,37.17901733418505,6,53,13,428,0.3157894736842105,0.1101871101871102,0.1016949152542373,0.8898128898128899
broad_PLP_to_non_PLP_or_missing,37.01137857765309,7,53,12,428,0.3684210526315789,0.1101871101871102,0.11666666666666667,0.8898128898128899
broad_PLP_to_non_PLP_or_missing,36.12013483252993,8,53,11,428,0.42105263157894735,0.1101871101871102,0.13114754098360656,0.8898128898128899
broad_PLP_to_non_PLP_or_missing,35.6738689430903,8,54,11,427,0.42105263157894735,0.11226611226611227,0.12903225806451613,0.8877338877338877
broad_PLP_to_non_PLP_or_missing,35.61891909153775,8,55,11,426,0.42105263157894735,0.11434511434511435,0.12698412698412698,0.8856548856548857
broad_PLP_to_non_PLP_or_missing,35.59233351992256,8,56,11,425,0.42105263157894735,0.11642411642411643,0.125,0.8835758835758836
broad_PLP_to_non_PLP_or_missing,34.772993405148824,8,57,11,424,0.42105263157894735,0.11850311850311851,0.12307692307692308,0.8814968814968815
broad_PLP_to_non_PLP_or_missing,34.75814516099379,8,58,11,423,0.42105263157894735,0.12058212058212059,0.12121212121212122,0.8794178794178794
broad_PLP_to_non_PLP_or_missing,33.68336668444904,8,59,11,422,0.42105263157894735,0.12266112266112267,0.11940298507462686,0.8773388773388774
broad_PLP_to_non_PLP_or_missing,33.592239823755364,8,60,11,421,0.42105263157894735,0.12474012474012475,0.11764705882352941,0.8752598752598753
