ac_threshold,method,frequency_observed_count,naive_af_flag_count_all_observed,ac_supported_frequency_flag_count_all_observed,vital_red_count_all_observed,vital_red_variants,vital_red_shared_with_ac_ge_20_count,vital_red_shared_with_ac_ge_20_variants,vital_red_gained_vs_ac_ge_20_count,vital_red_gained_vs_ac_ge_20_variants,vital_red_lost_vs_ac_ge_20_count,vital_red_lost_vs_ac_ge_20_variants,operational_positive_count,high_confidence_retained_plp_proxy_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,naive_false_positives,false_positive_reduction_vs_naive,false_positive_reduction_vs_naive_percent
5,naive_AF_gt_1e-5,149,86,35,4,F8:VCV001685781:VITAL=88.6; FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3,0,,15,59,15,36,0,23,0.29411764705882354,1.0,0.3898305084745763,0.6101694915254238,0.0,Wilson 95%,0.1870856524031203,0.42999335331516647,0.7961107336956521,1.0,0.2757917606558441,0.5173389043813288,0.4826610956186712,0.724208239344156,0.0,0.20388926630434784,36,0,0.0
5,AF_gt_1e-5_and_AC_ge_5,149,86,35,4,F8:VCV001685781:VITAL=88.6; FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3,0,,15,59,15,20,0,39,0.42857142857142855,1.0,0.6610169491525424,0.3389830508474576,0.0,Wilson 95%,0.27984333081678914,0.5914287074102662,0.7961107336956521,1.0,0.5337223255448901,0.7686251640161651,0.23137483598383493,0.4662776744551099,0.0,0.20388926630434784,36,16,44.44444444444444
5,VITAL_red_AC_ge_5,149,86,35,4,F8:VCV001685781:VITAL=88.6; FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,FLG:VCV000429703:VITAL=72.4; PLA2G6:VCV000159741:VITAL=72.3,0,,15,59,4,0,11,59,1.0,0.26666666666666666,1.0,0.0,0.7333333333333333,Wilson 95%,0.5100999795960008,1.0,0.1089727610318281,0.5195088965768675,0.938868520215908,1.0,0.0,0.061131479784092065,0.4804911034231324,0.8910272389681718,36,36,100.0
10,naive_AF_gt_1e-5,149,86,31,3,F8:VCV001685781:VITAL=88.6; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,1,PLA2G6:VCV000159741:VITAL=72.3,0,,13,59,13,36,0,23,0.2653061224489796,1.0,0.3898305084745763,0.6101694915254238,0.0,Wilson 95%,0.1621113124514944,0.4026255615265835,0.7718981569447083,1.0,0.2757917606558441,0.5173389043813288,0.4826610956186712,0.724208239344156,0.0,0.22810184305529166,36,0,0.0
10,AF_gt_1e-5_and_AC_ge_10,149,86,31,3,F8:VCV001685781:VITAL=88.6; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,1,PLA2G6:VCV000159741:VITAL=72.3,0,,13,59,13,18,0,41,0.41935483870967744,1.0,0.6949152542372882,0.3050847457627119,0.0,Wilson 95%,0.26415303073549257,0.5923403564797902,0.7718981569447083,1.0,0.5685343274025617,0.7974652652239788,0.20253473477602124,0.4314656725974384,0.0,0.22810184305529166,36,18,50.0
10,VITAL_red_AC_ge_10,149,86,31,3,F8:VCV001685781:VITAL=88.6; PLA2G6:VCV000159741:VITAL=72.3; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,1,PLA2G6:VCV000159741:VITAL=72.3,0,,13,59,3,0,10,59,1.0,0.23076923076923078,1.0,0.0,0.7692307692307693,Wilson 95%,0.43849391955098227,1.0,0.08179379092465713,0.5025687399512693,0.938868520215908,1.0,0.0,0.061131479784092065,0.49743126004873084,0.918206209075343,36,36,100.0
20,naive_AF_gt_1e-5,149,86,26,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,0,,0,,9,59,9,36,0,23,0.2,1.0,0.3898305084745763,0.6101694915254238,0.0,Wilson 95%,0.10896004402509006,0.3382325131392944,0.7008472464490407,1.0,0.2757917606558441,0.5173389043813288,0.4826610956186712,0.724208239344156,0.0,0.2991527535509594,36,0,0.0
20,AF_gt_1e-5_and_AC_ge_20,149,86,26,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,0,,0,,9,59,9,17,0,42,0.34615384615384615,1.0,0.711864406779661,0.288135593220339,0.0,Wilson 95%,0.19412014972852126,0.5377977099036699,0.7008472464490407,1.0,0.5861891170174913,0.8116365271417918,0.1883634728582083,0.4138108829825087,0.0,0.2991527535509594,36,19,52.77777777777778
20,VITAL_red_AC_ge_20,149,86,26,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,2,F8:VCV001685781:VITAL=88.6; SNCB:VCV000007025:VITAL=90.1,0,,0,,9,59,2,0,7,59,1.0,0.2222222222222222,1.0,0.0,0.7777777777777778,Wilson 95%,0.34237195288961925,1.0,0.06322376231222723,0.5474166563271946,0.938868520215908,1.0,0.0,0.061131479784092065,0.4525833436728054,0.9367762376877727,36,36,100.0
50,naive_AF_gt_1e-5,149,86,9,1,F8:VCV001685781:VITAL=88.6,1,F8:VCV001685781:VITAL=88.6,0,,1,SNCB:VCV000007025:VITAL=90.1,4,59,4,36,0,23,0.1,1.0,0.3898305084745763,0.6101694915254238,0.0,Wilson 95%,0.03957888759557486,0.23052074380473897,0.5100999795960008,1.0,0.2757917606558441,0.5173389043813288,0.4826610956186712,0.724208239344156,0.0,0.48990002040399916,36,0,0.0
