score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,34,9,25,0,34,0.2647058823529412,1.0,0.576271186440678,0.423728813559322
45,29,8,21,1,38,0.27586206896551724,0.8888888888888888,0.6440677966101694,0.3559322033898305
50,23,8,15,1,44,0.34782608695652173,0.8888888888888888,0.7457627118644068,0.2542372881355932
55,12,6,6,3,53,0.5,0.6666666666666666,0.8983050847457628,0.1016949152542373
60,10,4,6,5,53,0.4,0.4444444444444444,0.8983050847457628,0.1016949152542373
65,8,2,6,7,53,0.25,0.2222222222222222,0.8983050847457628,0.1016949152542373
70,6,2,4,7,55,0.3333333333333333,0.2222222222222222,0.9322033898305084,0.06779661016949153
75,4,2,2,7,57,0.5,0.2222222222222222,0.9661016949152542,0.03389830508474576
80,3,2,1,7,58,0.6666666666666666,0.2222222222222222,0.9830508474576272,0.01694915254237288
85,2,2,0,7,59,1.0,0.2222222222222222,1.0,0.0
90,1,1,0,8,59,1.0,0.1111111111111111,1.0,0.0
95,0,0,0,9,59,,0.0,1.0,0.0
