gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
AHI1,2,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
COL4A3,4,2,0,0,1,0,0.0,0.0,0.8333333333333334,frequency_constrained
NF1,12,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
AGXT,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AP3B2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ASS1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ASXL1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BCS1L,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
C3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CCDC40,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CEP290,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CFH,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CHRNE,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
D2HGDH,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DBT,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
EXOSC3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
F5,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FAM20A,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FANCE,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FARS2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FMNL2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FOXRED1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FRAS1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GATA4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GCK,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GLDC,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GP1BA,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
GTPBP3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HGD,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HMGCR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HNRNPK,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
IARS2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
IDUA,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
IMPG1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ITPA,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
JAG1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
LAMB3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MSH6,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MTR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NAGA,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NDUFS4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PAX2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PEX1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PKHD1,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
POMGNT1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PRCD,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PROM1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
QDPR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RAX,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RET,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ROGDI,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SBF2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SCN2A,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SDHB,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SERPINA1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SKIC3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC26A4,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC7A9,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TAF4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TFR2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TGM1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TRAPPC11,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
USP8,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ZAP70,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ZP3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CPLANE1,2,2,1,0,1,0,0.5,0.0,0.5,intermediate
DYNC2H1,2,2,1,1,0,0,0.5,0.5,0.5,intermediate
MYH7,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
NPHP3,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
SPG11,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
ABCA4,2,0,0,0,0,0,,,0.5,intermediate
