score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
40,29,4,25,0,46,0.13793103448275862,1.0,0.647887323943662,0.352112676056338
45,20,2,18,2,53,0.1,0.5,0.7464788732394366,0.2535211267605634
50,16,1,15,3,56,0.0625,0.25,0.7887323943661971,0.2112676056338028
55,12,1,11,3,60,0.08333333333333333,0.25,0.8450704225352113,0.15492957746478872
60,9,0,9,4,62,0.0,0.0,0.8732394366197183,0.1267605633802817
65,7,0,7,4,64,0.0,0.0,0.9014084507042254,0.09859154929577464
70,6,0,6,4,65,0.0,0.0,0.9154929577464789,0.08450704225352113
75,5,0,5,4,66,0.0,0.0,0.9295774647887324,0.07042253521126761
80,3,0,3,4,68,0.0,0.0,0.9577464788732394,0.04225352112676056
85,2,0,2,4,69,0.0,0.0,0.971830985915493,0.028169014084507043
90,0,0,0,4,71,,0.0,1.0,0.0
95,0,0,0,4,71,,0.0,1.0,0.0
