gene,datasets_present,variant_count,evaluation_limited,popmax_review,model_conflict,recessive_route,sv_required
KCNH2,arrhythmia,478,True,True,False,False,False
SCN5A,arrhythmia,394,True,True,True,False,False
KCNQ1,arrhythmia,286,True,True,False,False,False
RYR2,arrhythmia,183,True,True,False,False,False
USH2A,hearing_loss,116,True,False,False,True,False
SCN1A,epilepsy,95,True,False,False,False,False
ANK2,arrhythmia,86,True,True,False,False,False
CACNA1C,arrhythmia,85,True,True,False,False,False
MYBPC3,cardiomyopathy,71,True,True,False,False,False
CASQ2,arrhythmia,65,True,False,False,True,False
GAA,metabolic_ar,64,True,False,False,True,False
PAH,metabolic_ar,64,True,False,False,True,False
DSP,cardiomyopathy,56,True,True,False,False,False
TRDN,arrhythmia,51,True,False,False,True,False
BTK,primary_immunodeficiency,48,True,True,False,False,False
FLNC,cardiomyopathy,46,True,True,False,False,False
CDH23,hearing_loss,42,True,False,False,True,False
ACADVL,metabolic_ar,40,True,False,False,True,False
LMNA,cardiomyopathy,40,True,True,False,False,False
KCNQ2,epilepsy,39,True,False,False,False,False
MYO7A,hearing_loss,38,True,True,False,False,False
CYBB,primary_immunodeficiency,34,True,False,False,False,False
MYO15A,hearing_loss,34,True,False,False,True,False
SCN2A,epilepsy,32,True,True,False,False,False
CDKL5,epilepsy,31,True,True,False,False,False
SLC26A4,hearing_loss,30,True,False,False,True,False
UNC13D,primary_immunodeficiency,30,True,True,False,False,False
KCNJ2,arrhythmia,29,True,True,False,False,False
ADA,primary_immunodeficiency,28,True,True,False,False,False
PKP2,cardiomyopathy,27,True,True,False,False,False
RAG1,primary_immunodeficiency,27,True,True,False,False,False
SLC22A5,metabolic_ar,27,True,False,False,True,False
IL2RG,primary_immunodeficiency,26,True,False,False,False,False
DEPDC5,epilepsy,25,True,False,False,False,False
MYH7,cardiomyopathy,25,True,True,False,False,False
STXBP1,epilepsy,25,True,False,False,False,False
WAS,primary_immunodeficiency,25,True,False,False,False,False
GALT,metabolic_ar,24,True,False,False,True,False
BTD,metabolic_ar,23,True,False,False,True,False
OTOF,hearing_loss,20,True,False,False,True,False
HCN4,arrhythmia,18,True,True,False,False,False
NFKB1,primary_immunodeficiency,18,True,False,False,False,False
ASL,metabolic_ar,17,True,False,False,True,False
DOCK8,primary_immunodeficiency,17,True,True,False,False,False
FAS,primary_immunodeficiency,16,True,False,False,False,False
PCDH19,epilepsy,16,True,False,False,False,False
STAT3,primary_immunodeficiency,16,True,False,False,False,False
CALM1,arrhythmia,15,True,False,False,False,False
RAG2,primary_immunodeficiency,15,True,True,False,False,False
KCNE1,arrhythmia,14,True,True,False,False,False
CALM2,arrhythmia,13,True,False,False,False,False
LPL,metabolic_ar,13,True,False,False,True,False
SLC2A1,epilepsy,13,True,True,False,False,False
ASS1,metabolic_ar,12,True,False,False,True,False
SCN8A,epilepsy,12,True,True,False,False,False
DSC2,cardiomyopathy,9,True,False,False,False,False
GJB2,hearing_loss,9,True,True,False,False,False
MMACHC,metabolic_ar,9,True,False,False,True,False
CALM3,arrhythmia,8,True,False,False,False,False
DSG2,cardiomyopathy,8,True,True,False,False,False
HMGCL,metabolic_ar,7,True,False,False,False,False
TMC1,hearing_loss,7,True,True,False,False,False
TNNI3,cardiomyopathy,6,True,False,False,False,False
GABRG2,epilepsy,5,True,True,False,False,False
KCNQ3,epilepsy,5,True,False,False,False,False
TNNT2,cardiomyopathy,5,True,True,False,False,False
CACNA2D1,arrhythmia,4,True,False,False,False,False
TPM1,cardiomyopathy,4,True,False,False,False,False
ACTC1,cardiomyopathy,2,True,True,False,False,False
GABRA1,epilepsy,2,True,False,False,False,False
GJB6,hearing_loss,2,False,False,False,False,True
TECTA,hearing_loss,2,False,True,False,False,False
AKAP9,arrhythmia,1,True,False,False,False,False
CACNB2,arrhythmia,1,False,True,False,False,False
MYL2,cardiomyopathy,1,False,True,False,False,False
