gene,entrezgene,chrom,grch38_start_0based,grch38_end_0based_exclusive,gene_length_bp,gc_fraction,gc_percent,locus_source,gc_source
KCNQ1,3784,11,2444654,2849105,404451,0.515508677194518,51.5508677194518,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNH2,3757,7,150944064,150978394,34330,0.5959219341683658,59.59219341683658,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SCN5A,6331,3,38548057,38649743,101686,0.509558837991464,50.95588379914639,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNE1,3753,21,34446688,34512214,65526,0.4371394560937643,43.71394560937643,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNE2,9992,21,34180729,34371381,190652,0.43692696641000356,43.69269664100035,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
RYR2,6262,1,237042184,237833988,791804,0.3852822163060555,38.52822163060555,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CASQ2,845,1,115698038,115837921,139883,0.4146751213514151,41.46751213514151,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
TRDN,10345,6,123215088,123637260,422172,0.3497034384089897,34.97034384089897,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM1,801,14,90396502,90408268,11766,0.4708482066972633,47.08482066972633,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM2,805,2,47160084,47176921,16837,0.40149670368830553,40.149670368830556,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM3,808,19,46601074,46610787,9713,0.575002573870071,57.5002573870071,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
ANK2,287,4,112818032,113384231,566199,0.3708395811366675,37.083958113666746,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SCN4B,6330,11,118133377,118152888,19511,0.5264722464250935,52.64722464250935,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNJ2,3759,17,70168302,70180044,11742,0.4204564810083461,42.04564810083461,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
HCN4,10021,15,73319859,73368958,49099,0.5503574410884132,55.03574410884132,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNA1C,775,12,1970772,2697950,727178,0.47135226863298946,47.135226863298946,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNB2,783,10,18140424,18543557,403133,0.40461088524134714,40.461088524134716,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNA2D1,781,7,81946444,82443970,497526,0.3499596001013012,34.99596001013012,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
AKAP9,10142,7,91940840,92110673,169833,0.36729022039297426,36.729022039297426,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SNTA1,6640,20,33407955,33443885,35930,0.5040634567214027,50.406345672140276,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
