gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
BRCA2,8,3,0,0,0,0,0.0,0.0,0.875,frequency_constrained
BRCA1,11,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
ST3GAL5,2,2,0,0,0,0,0.0,0.0,0.8333333333333334,frequency_constrained
ABCA4,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ADCY6,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ALMS1,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AMH,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
APC,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
ASPM,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
AURKC,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BARD1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BBS10,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BEST1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
BLM,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CD27;CD27-AS1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CEP290,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CPLANE1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CPS1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DCLRE1C,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
DPM3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
EMD,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
FLNA,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HMBS,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
HNF1B,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KMT2B,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MCOLN1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MLH1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MMUT,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MRE11,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MTRR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MYO15A,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
MYO7A,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NEFL,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NOTCH1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
NPC2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PHEX,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PKD1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PKD2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PKHD1,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
POLG,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PTCH1,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PTPN11,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
PYGM,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
RAD50,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC16A2,2,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SLC27A4,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
SPG7,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TCTN3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TNNI3,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TRAPPC9,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
TYR,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
