gene,chrom,grch38_start_0based,grch38_end_0based_exclusive,gene_length_bp,gc_percent,clinvar_plp_variant_count,exact_match_count,allele_discordance_count,no_gnomad_record_count,query_error_count,non_overlap_count,non_overlap_percent,af_covered_exact_match_count,af_gt_1e_5_count,af_gt_1e_5_percent_of_af_covered,odds_ratio,fisher_p_greater,fisher_bh_q,significant,entrezgene,locus_source,gc_source
KCNQ1,11,2444654,2849105,404451,51.5508677194518,286,58,110,118,0,228,79.72027972027972,56,0,0.0,0.0,1.0,1.0,False,3784,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNH2,7,150944064,150978394,34330,59.59219341683658,478,72,250,156,0,406,84.93723849372385,71,1,1.408450704225352,0.299,0.958068581249024,1.0,False,3757,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SCN5A,3,38548057,38649743,101686,50.95588379914639,394,63,155,176,0,331,84.01015228426395,57,1,1.7543859649122806,0.394,0.9164262321153148,1.0,False,6331,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNE1,21,34446688,34512214,65526,43.71394560937643,14,5,7,2,0,9,64.28571428571429,5,0,0.0,0.0,1.0,1.0,False,3753,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNE2,21,34180729,34371381,190652,43.69269664100035,0,0,0,0,0,0,,0,0,,,,,False,9992,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
RYR2,1,237042184,237833988,791804,38.52822163060555,183,29,38,116,0,154,84.15300546448087,27,0,0.0,0.0,1.0,1.0,False,6262,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CASQ2,1,115698038,115837921,139883,41.46751213514151,65,39,13,13,0,26,40.0,39,3,7.6923076923076925,2.375,0.1843120271408117,0.8601227933237882,False,845,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
TRDN,6,123215088,123637260,422172,34.97034384089897,51,33,12,6,0,18,35.294117647058826,31,7,22.580645161290324,14.438,3.5028685052775775e-05,0.0004904015907388,True,10345,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM1,14,90396502,90408268,11766,47.08482066972633,15,0,2,13,0,15,100.0,0,0,,,,,False,801,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM2,2,47160084,47176921,16837,40.14967036883056,13,1,2,10,0,12,92.3076923076923,1,0,0.0,0.0,1.0,1.0,False,805,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CALM3,19,46601074,46610787,9713,57.5002573870071,8,0,3,5,0,8,100.0,0,0,,,,,False,808,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
ANK2,4,112818032,113384231,566199,37.083958113666746,86,23,23,40,0,63,73.25581395348837,21,0,0.0,0.0,1.0,1.0,False,287,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SCN4B,11,118133377,118152888,19511,52.64722464250935,0,0,0,0,0,0,,0,0,,,,,False,6330,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
KCNJ2,17,70168302,70180044,11742,42.04564810083461,29,6,3,20,0,23,79.3103448275862,6,0,0.0,0.0,1.0,1.0,False,3759,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
HCN4,15,73319859,73368958,49099,55.03574410884132,18,7,3,8,0,11,61.111111111111114,6,0,0.0,0.0,1.0,1.0,False,10021,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNA1C,12,1970772,2697950,727178,47.13522686329895,85,12,23,50,0,73,85.88235294117646,12,0,0.0,0.0,1.0,1.0,False,775,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNB2,10,18140424,18543557,403133,40.46108852413472,1,1,0,0,0,0,0.0,1,1,100.0,inf,0.0389221556886227,0.2724550898203593,False,783,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
CACNA2D1,7,81946444,82443970,497526,34.99596001013012,4,1,1,2,0,3,75.0,1,0,0.0,0.0,1.0,1.0,False,781,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
AKAP9,7,91940840,92110673,169833,36.72902203929743,1,0,0,1,0,1,100.0,0,0,,,,,False,10142,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
SNTA1,20,33407955,33443885,35930,50.40634567214028,0,0,0,0,0,0,,0,0,,,,,False,6640,MyGene.info genomic_pos GRCh38,UCSC hg38 getData/sequence
