metric,value,note
global_non_overlap_fraction,0.7978047371461583,All genes in the matched table.
kcnh2_total_variants,478.0,
kcnh2_non_overlap_count,406.0,
kcnh2_non_overlap_fraction,0.8493723849372385,
kcnh2_expected_non_overlap_count_at_global_rate,381.35066435586367,
kcnh2_excess_non_overlap_count,24.64933564413633,Observed minus expected at the all-gene non-overlap rate.
kcnh2_non_overlap_fisher_or_vs_other_genes,1.607806267806268,
kcnh2_non_overlap_fisher_p_greater,0.0004850079799907888,
kcnh2_exact_median_local_gc_100bp,0.7064676616915423,https://api.genome.ucsc.edu/getData/sequence?genome=hg38;chrom=chr7;start=150945185;end=150978112
kcnh2_non_overlap_median_local_gc_100bp,0.664179104477612,https://api.genome.ucsc.edu/getData/sequence?genome=hg38;chrom=chr7;start=150945185;end=150978112
kcnh2_local_gc_100bp_mannwhitney_p_two_sided,6.032709855192508e-05,Tests non-overlap vs exact local GC distribution.
