gene,clinvar_plp_variant_count,af_observed_count,vital_red_count,high_tension_count,constraint_transcript,constraint_canonical,constraint_mane_select,gnomad_lof_oe,gnomad_pli,gnomad_lof_oe_ci_upper,gnomad_mis_oe,gnomad_mis_z,gnomad_constraint_flags,hpa_gene_id,hpa_tissue,hpa_heart_muscle_ntpm,heart_expression_context,biological_context_source
AKAP9,1,0,0,0,NM_005751.5,True,True,0.59623,1.5523999999999999e-43,0.662,0.91303,2.0527,[],ENSG00000127914,heart muscle,6.3,low,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
ANK2,86,21,0,0,NM_001148.6,True,True,0.22528,1.0,0.271,0.83456,4.2752,[],ENSG00000145362,heart muscle,76.1,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CACNA1C,85,12,0,0,NM_000719.7,True,True,0.13145,1.0,0.186,0.60023,7.2836,[],ENSG00000151067,heart muscle,20.2,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CACNA2D1,4,1,0,0,NM_000722.4,True,True,0.29165,0.99947,0.437,0.72204,2.3712,[],ENSG00000153956,heart muscle,26.0,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CACNB2,1,1,0,1,NM_201596.3,True,True,0.57067,9.0033e-06,0.77,1.0698,-0.71303,[],ENSG00000165995,heart muscle,11.4,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CALM1,15,0,0,0,NM_006888.6,True,True,0.0,0.991,0.276,0.10739,3.5866,[],ENSG00000198668,heart muscle,276.9,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CALM2,13,1,0,0,NM_001743.6,True,True,0.0,0.99327,0.262,0.19727,3.5543,[],ENSG00000143933,heart muscle,427.5,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CALM3,8,0,0,0,NM_005184.4,True,True,0.26453,0.93101,0.556,0.29018,3.6331,[],ENSG00000160014,heart muscle,263.6,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
CASQ2,65,39,0,1,NM_001232.4,True,True,0.9746,1.1783e-10,1.322,0.95815,0.30635,[],ENSG00000118729,heart muscle,1019.4,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
HCN4,18,6,0,0,NM_005477.3,True,True,0.41912,0.14903,0.571,0.90873,1.2903,[],ENSG00000138622,heart muscle,8.1,low,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
KCNE1,14,5,0,0,NM_000219.6,True,True,0.0,0.51755,1.427,0.52131,0.59307,[],ENSG00000180509,heart muscle,11.0,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
KCNH2,478,71,1,1,NM_000238.4,True,True,0.42664,0.066807,0.568,0.82575,2.4976,[],ENSG00000055118,heart muscle,28.7,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
KCNJ2,29,6,0,0,NM_000891.3,True,True,0.40169,0.37571,0.651,0.55174,3.9425,[],ENSG00000123700,heart muscle,9.5,low,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
KCNQ1,286,56,0,0,NM_000218.3,True,True,0.72301,1.0954e-12,0.915,0.915,0.91213,[],ENSG00000053918,heart muscle,27.4,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
RYR2,183,27,0,0,NM_001035.3,True,True,0.36842,1.0,0.424,0.74604,6.4389,[],ENSG00000198626,heart muscle,134.4,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
SCN5A,394,57,1,1,NM_000335.5,True,True,0.29477,1.0,0.372,0.74496,4.8452,[],ENSG00000183873,heart muscle,41.3,moderate,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
TRDN,51,31,1,2,NM_006073.4,True,True,1.1059,1.1258000000000001e-24,1.359,1.1407,-1.0725,[],ENSG00000186439,heart muscle,406.7,high,gnomAD v4.1 constraint metrics for LOEUF/pLI/missense z; Human Protein Atlas v23 tissue consensus for heart-muscle nTPM
