gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
RYR2,165,23,4,1,0,0,0.17391304347826086,0.043478260869565216,0.8125,frequency_constrained
KCNH2,533,105,22,3,4,0,0.20952380952380953,0.02857142857142857,0.7877358490566038,frequency_constrained
CACNA1C,44,14,3,0,0,0,0.21428571428571427,0.0,0.7666666666666667,frequency_constrained
CACNA2D1,3,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CACNB2,1,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CALM2,16,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
KCNJ2,56,11,5,0,0,0,0.45454545454545453,0.0,0.5416666666666666,intermediate
KCNQ1,367,147,68,6,13,0,0.46258503401360546,0.04081632653061224,0.5371621621621622,intermediate
SCN5A,331,76,37,1,5,0,0.4868421052631579,0.013157894736842105,0.512987012987013,intermediate
KCNE2,2,2,1,0,0,0,0.5,0.0,0.5,intermediate
CALM1,16,0,0,0,0,0,,,0.5,intermediate
CALM3,8,0,0,0,0,0,,,0.5,intermediate
SCN4B,3,0,0,0,0,0,,,0.5,intermediate
ANK2,14,5,3,1,0,0,0.6,0.2,0.4166666666666667,intermediate
HCN4,16,5,3,0,0,0,0.6,0.0,0.4166666666666667,intermediate
CASQ2,38,30,18,2,4,0,0.6,0.06666666666666667,0.4032258064516129,intermediate
TRDN,34,24,15,3,8,0,0.625,0.125,0.38,permissive_or_founder_prone
KCNE1,17,7,5,1,1,1,0.7142857142857143,0.14285714285714285,0.3125,permissive_or_founder_prone
SNTA1,1,1,1,0,0,0,1.0,0.0,0.25,permissive_or_founder_prone
AKAP9,4,2,2,1,0,0,1.0,0.5,0.16666666666666666,permissive_or_founder_prone
