gene,clinvar_plp_variant_count,exact_af_covered_count,popmax_gt_1e_5_count,popmax_gt_1e_4_count,global_gt_1e_5_count,global_gt_1e_4_count,popmax_gt_1e_5_fraction,popmax_gt_1e_4_fraction,gene_frequency_constraint_proxy,gene_frequency_constraint_label
KCNH2,478,71,12,2,1,0,0.16901408450704225,0.028169014084507043,0.8263888888888888,frequency_constrained
RYR2,183,27,5,0,0,0,0.18518518518518517,0.0,0.8035714285714286,frequency_constrained
CACNA2D1,4,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CALM2,13,1,0,0,0,0,0.0,0.0,0.75,frequency_constrained
CACNA1C,85,12,3,0,0,0,0.25,0.0,0.7307692307692307,frequency_constrained
SCN5A,394,57,19,1,1,1,0.3333333333333333,0.017543859649122806,0.6637931034482759,intermediate
KCNQ1,286,56,20,0,0,0,0.35714285714285715,0.0,0.6403508771929824,intermediate
ANK2,86,21,8,0,0,0,0.38095238095238093,0.0,0.6136363636363636,intermediate
CASQ2,65,39,19,2,3,0,0.48717948717948717,0.05128205128205128,0.5125,intermediate
HCN4,18,6,3,0,0,0,0.5,0.0,0.5,intermediate
KCNJ2,29,6,3,0,0,0,0.5,0.0,0.5,intermediate
AKAP9,1,0,0,0,0,0,,,0.5,intermediate
CALM1,15,0,0,0,0,0,,,0.5,intermediate
CALM3,8,0,0,0,0,0,,,0.5,intermediate
KCNE1,14,5,3,0,0,0,0.6,0.0,0.4166666666666667,intermediate
TRDN,51,31,19,3,7,0,0.6129032258064516,0.0967741935483871,0.390625,permissive_or_founder_prone
CACNB2,1,1,1,1,1,0,1.0,1.0,0.25,permissive_or_founder_prone
