variant_id,gene,ClinVar_label,review_status,review_score,mechanism_class,inheritance_model,variant_consequence,global_AF,popmax_AF,effective_AF,allele_count,evaluability_tier,MCAF_strict,MCAF_hard,MCAF_permissive,ClinGen_validity_gene_level,variant_source,af_bin,vital_route_main,gene_actionable
VCV000440850,SCN5A,P,no assertion criteria provided,0,MIXED,mixed_context_dependent,other_or_unresolved,0.0001464876505434,0.0056763862332695,0.0056763862332695,214.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-3-1e-2,MODEL_CONFLICT,True
VCV001325231,TRDN,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,2.774748677138568e-05,0.0002182135583357,0.0002182135583357,40.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV004535537,KCNH2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,4.367018818211924e-05,0.0001315270288044,0.0001315270288044,24.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV001074440,TRDN,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,1.4587780046988007e-05,0.0001336541031809,0.0001336541031809,19.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV002565185,CASQ2,P,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,3.425131422292673e-06,0.0001495662578522,0.0001495662578522,5.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV001027323,KCNH2,LP,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,missense,7.213041178450639e-06,0.0002143163309044,0.0002143163309044,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV002635811,TRDN,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,splice_or_intronic,5.012186774127951e-06,0.000112101339611,0.000112101339611,4.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV003076015,KCNH2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,splice_or_intronic,2.7727944499746288e-06,6.611424541607899e-05,6.611424541607899e-05,3.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001766367,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,6.84958717538094e-07,0.0001734906315058,0.0001734906315058,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-4-1e-3,MODEL_CONFLICT,True
VCV001395670,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,2.737022748764577e-06,8.944543828264758e-05,8.944543828264758e-05,4.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
