dimension,category,non_evaluable,af_observed,total,af_observed_percent_within_category,share_of_af_observed_space_percent,share_of_non_evaluable_space_percent,chi_square_p_for_dimension,audit_interpretation
gene,KCNH2,407,71,478,14.853556485355648,21.25748502994012,29.133858267716537,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,SCN5A,337,57,394,14.467005076142131,17.065868263473053,24.123120973514673,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,KCNQ1,230,56,286,19.58041958041958,16.766467065868262,16.4638511095204,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,RYR2,156,27,183,14.754098360655737,8.083832335329342,11.166785969935576,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,ANK2,65,21,86,24.41860465116279,6.287425149700598,4.652827487473156,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CACNA1C,73,12,85,14.117647058823529,3.592814371257485,5.225483178239084,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CASQ2,26,39,65,60.0,11.676646706586826,1.8611309949892627,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,TRDN,20,31,51,60.78431372549019,9.281437125748504,1.4316392269148175,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,KCNJ2,23,6,29,20.689655172413794,1.7964071856287425,1.64638511095204,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,HCN4,12,6,18,33.333333333333336,1.7964071856287425,0.8589835361488904,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CALM1,15,0,15,0.0,0.0,1.0737294201861132,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,KCNE1,9,5,14,35.714285714285715,1.4970059880239521,0.6442376521116678,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CALM2,12,1,13,7.6923076923076925,0.2994011976047904,0.8589835361488904,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CALM3,8,0,8,0.0,0.0,0.572655690765927,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CACNA2D1,3,1,4,25.0,0.2994011976047904,0.2147458840372226,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,AKAP9,1,0,1,0.0,0.0,0.07158196134574088,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
gene,CACNB2,0,1,1,100.0,0.2994011976047904,0.0,1.4837101371475977e-25,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
review_strength,single_submitter,1093,213,1306,16.309341500765697,63.77245508982036,78.23908375089478,4.8755247680314726e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
review_strength,multiple_submitters_no_conflicts,256,109,365,29.863013698630137,32.634730538922156,18.324982104509665,4.8755247680314726e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
review_strength,weak_or_no_assertion,48,12,60,20.0,3.592814371257485,3.435934144595562,4.8755247680314726e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
variant_type,SNV,732,238,970,24.536082474226806,71.25748502994011,52.397995705082316,3.637488893509224e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
variant_type,deletion,458,71,529,13.421550094517958,21.25748502994012,32.78453829634932,3.637488893509224e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
variant_type,duplication,173,21,194,10.824742268041238,6.287425149700598,12.383679312813172,3.637488893509224e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
variant_type,insertion,26,4,30,13.333333333333334,1.1976047904191616,1.8611309949892627,3.637488893509224e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
variant_type,MNV_or_substitution,8,0,8,0.0,0.0,0.572655690765927,3.637488893509224e-08,"AF-observed and non-evaluable spaces differ systematically; this is a measured representation bias, not random missingness."
