variation_id,clinvar_id,variation_type_xml,number_of_submissions_xml,number_of_submitters_xml,date_created,date_last_updated,most_recent_submission,record_type,date_created_parsed,date_created_year,date_last_updated_parsed,date_last_updated_year,most_recent_submission_parsed,most_recent_submission_year
372376,VCV000372376,single nucleotide variant,3,3,2017-01-09,2026-03-08,2026-03-07,classified,2017-01-09,2017,2026-03-08,2026,2026-03-07,2026
372377,VCV000372377,single nucleotide variant,3,3,2017-01-09,2026-04-13,2026-02-15,classified,2017-01-09,2017,2026-04-13,2026,2026-02-15,2026
372378,VCV000372378,Deletion,2,2,2017-01-09,2026-02-24,2026-02-23,classified,2017-01-09,2017,2026-02-24,2026,2026-02-23,2026
372571,VCV000372571,Duplication,3,3,2017-01-09,2026-02-24,2026-02-23,classified,2017-01-09,2017,2026-02-24,2026,2026-02-23,2026
372589,VCV000372589,single nucleotide variant,1,1,2017-01-09,2022-11-05,2017-01-09,classified,2017-01-09,2017,2022-11-05,2022,2017-01-09,2017
372942,VCV000372942,Duplication,1,1,2017-01-09,2023-03-05,2023-03-04,classified,2017-01-09,2017,2023-03-05,2023,2023-03-04,2023
373026,VCV000373026,single nucleotide variant,2,2,2017-01-09,2026-02-15,2026-02-15,classified,2017-01-09,2017,2026-02-15,2026,2026-02-15,2026
373047,VCV000373047,single nucleotide variant,1,1,2017-01-09,2025-05-17,2017-01-09,classified,2017-01-09,2017,2025-05-17,2025,2017-01-09,2017
379293,VCV000379293,single nucleotide variant,2,2,2017-03-08,2026-02-15,2026-02-15,classified,2017-03-08,2017,2026-02-15,2026,2026-02-15,2026
379451,VCV000379451,single nucleotide variant,2,2,2017-03-08,2026-02-15,2026-02-15,classified,2017-03-08,2017,2026-02-15,2026,2026-02-15,2026
387850,VCV000387850,single nucleotide variant,1,1,2017-03-08,2022-11-05,2017-03-08,classified,2017-03-08,2017,2022-11-05,2022,2017-03-08,2017
391858,VCV000391858,single nucleotide variant,1,1,2017-03-08,2022-11-05,2017-03-08,classified,2017-03-08,2017,2022-11-05,2022,2017-03-08,2017
392341,VCV000392341,single nucleotide variant,1,1,2017-03-08,2022-11-05,2017-03-08,classified,2017-03-08,2017,2022-11-05,2022,2017-03-08,2017
392690,VCV000392690,single nucleotide variant,1,1,2017-03-08,2022-11-05,2017-03-08,classified,2017-03-08,2017,2022-11-05,2022,2017-03-08,2017
405341,VCV000405341,Deletion,1,1,2017-04-17,2026-02-15,2026-02-15,classified,2017-04-17,2017,2026-02-15,2026,2026-02-15,2026
405342,VCV000405342,Microsatellite,1,1,2017-12-26,2026-02-15,2026-02-15,classified,2017-12-26,2017,2026-02-15,2026,2026-02-15,2026
405345,VCV000405345,Duplication,1,1,2017-04-17,2026-02-15,2026-02-15,classified,2017-04-17,2017,2026-02-15,2026,2026-02-15,2026
405355,VCV000405355,Deletion,2,2,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
405358,VCV000405358,Duplication,1,1,2017-04-17,2026-02-15,2026-02-15,classified,2017-04-17,2017,2026-02-15,2026,2026-02-15,2026
418247,VCV000418247,Deletion,2,2,2017-04-27,2026-02-08,2022-01-12,classified,2017-04-27,2017,2026-02-08,2026,2022-01-12,2022
418597,VCV000418597,single nucleotide variant,2,2,2017-04-27,2026-02-15,2026-02-15,classified,2017-04-27,2017,2026-02-15,2026,2026-02-15,2026
418670,VCV000418670,Deletion,1,1,2017-04-27,2024-09-29,2024-09-16,classified,2017-04-27,2017,2024-09-29,2024,2024-09-16,2024
418689,VCV000418689,Deletion,1,1,2019-04-17,2022-11-05,2019-04-17,classified,2019-04-17,2019,2022-11-05,2022,2019-04-17,2019
418787,VCV000418787,Deletion,3,3,2017-04-27,2026-02-15,2026-02-15,classified,2017-04-27,2017,2026-02-15,2026,2026-02-15,2026
418815,VCV000418815,Duplication,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
418919,VCV000418919,Deletion,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
419311,VCV000419311,single nucleotide variant,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
419379,VCV000419379,Deletion,2,2,2017-04-27,2026-02-15,2026-02-15,classified,2017-04-27,2017,2026-02-15,2026,2026-02-15,2026
419410,VCV000419410,Deletion,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
419715,VCV000419715,single nucleotide variant,2,2,2017-04-27,2026-02-15,2026-02-15,classified,2017-04-27,2017,2026-02-15,2026,2026-02-15,2026
420260,VCV000420260,Duplication,1,1,2017-04-27,2023-03-05,2023-03-04,classified,2017-04-27,2017,2023-03-05,2023,2023-03-04,2023
420585,VCV000420585,Deletion,3,3,2017-04-27,2026-02-15,2026-02-15,classified,2017-04-27,2017,2026-02-15,2026,2026-02-15,2026
420923,VCV000420923,single nucleotide variant,3,3,2017-04-27,2026-03-08,2026-03-07,classified,2017-04-27,2017,2026-03-08,2026,2026-03-07,2026
