domain,target,calibration_mode,score_threshold,baseline_variant_count,target_event_count,overall_event_rate,flagged_count,flagged_event_count,flagged_event_rate,recall,enrichment_vs_overall,is_prespecified_threshold_70,ac_supported_flag_count,weak_review_flag_count,ac_mapping_source,weak_review_mapping_source,field_mapping_note
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,40,1669,17,0.01018573996405033,97,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,45,1669,17,0.01018573996405033,67,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,50,1669,17,0.01018573996405033,40,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,55,1669,17,0.01018573996405033,24,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,60,1669,17,0.01018573996405033,17,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,65,1669,17,0.01018573996405033,12,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,70,1669,17,0.01018573996405033,8,0,0.0,0.0,0.0,True,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,75,1669,17,0.01018573996405033,7,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,80,1669,17,0.01018573996405033,5,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,85,1669,17,0.01018573996405033,3,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,90,1669,17,0.01018573996405033,0,0,,0.0,,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,score_only,95,1669,17,0.01018573996405033,0,0,,0.0,,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,40,1669,17,0.01018573996405033,4,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,45,1669,17,0.01018573996405033,4,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,50,1669,17,0.01018573996405033,3,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,55,1669,17,0.01018573996405033,2,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,60,1669,17,0.01018573996405033,2,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,65,1669,17,0.01018573996405033,2,0,0.0,0.0,0.0,False,27,1154,frequency_signal_ac_ge_20,review_score_le_1_or_submitter_count_le_1,"Red-gate calibration derives missing actionability fields from validator logic; AC threshold is an actionability gate, not a scoring component."
